price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
149637,1.0,1.0,1,84335382,120,90,Hellín,"Campo de Hellín, Albacete",
147334,1.0,1.0,1,84335383,120,90,Hellín,"Campo de Hellín, Albacete",
143421,1.0,1.0,1,84335384,102,75,Hellín,"Campo de Hellín, Albacete",
113826,1.0,1.0,1,84335385,85,64,Hellín,"Campo de Hellín, Albacete",
138299,1.0,1.0,1,84335386,98,70,Hellín,"Campo de Hellín, Albacete",
104998,1.0,1.0,1,84335387,80,60,Hellín,"Campo de Hellín, Albacete",
135675,1.0,1.0,1,84335388,101,76,Hellín,"Campo de Hellín, Albacete",
30000,2.0,4.0,2,84854612,100,90,Hellín,"Campo de Hellín, Albacete",
75900,2.0,3.0,4,84494045,140,,Tobarra,"Campo de Hellín, Albacete",
79313,1.0,1.0,1,84336869,118,,Tobarra,"Campo de Hellín, Albacete",
75000,2.0,4.0,2,84963228,160,,Hellín,"Campo de Hellín, Albacete",
194723,1.0,1.0,1,84935139,146,,Hellín,"Campo de Hellín, Albacete",
88000,2.0,3.0,1,83882295,107,90,Hellín,"Campo de Hellín, Albacete",
22969,1.0,1.0,1,83965168,62,51,Hellín,"Campo de Hellín, Albacete",
71000,1.0,5.0,1,38250421,120,,Hellín,"Campo de Hellín, Albacete",
66700,2.0,3.0,1,37123820,125,100,Ontur,"Campo de Hellín, Albacete",2009
110000,2.0,4.0,1,1728824,100,90,Hellín,"Campo de Hellín, Albacete",
120000,1.0,3.0,1,38058653,100,,Hellín,"Campo de Hellín, Albacete",
30000,1.0,3.0,3,38110403,300,,Tobarra,"Campo de Hellín, Albacete",
39900,1.0,3.0,4,38951602,200,,Hellín,"Campo de Hellín, Albacete",
14000,1.0,2.0,1,40267535,50,,Hellín,"Campo de Hellín, Albacete",
120000,2.0,3.0,3,83569758,100,,Tobarra,"Campo de Hellín, Albacete",
94000,0.0,4.0,2,314814,800,380,Hellín,"Campo de Hellín, Albacete",
280000,1.0,9.0,2,1760205,380,,Hellín,"Campo de Hellín, Albacete",
60000,1.0,5.0,2,28928069,221,220,Hellín,"Campo de Hellín, Albacete",
80000,2.0,4.0,3,34434792,210,,Pozohondo,"Campo de Hellín, Albacete",
28500,2.0,4.0,1,81871104,151,144,Tobarra,"Campo de Hellín, Albacete",
29000,2.0,3.0,1,81871212,142,131,Tobarra,"Campo de Hellín, Albacete",
110000,1.0,3.0,7,81978591,90,70,Hellín,"Campo de Hellín, Albacete",2008
38000,1.0,5.0,3,83045026,263,140,Albatana,"Campo de Hellín, Albacete",
126000,2.0,5.0,2,83296716,200,,Hellín,"Campo de Hellín, Albacete",
115000,2.0,4.0,1,26368621,125,110,Hellín,"Campo de Hellín, Albacete",
30000,1.0,4.0,3,32733399,180,,Hellín,"Campo de Hellín, Albacete",
120000,3.0,5.0,2,31176629,360,,Tobarra,"Campo de Hellín, Albacete",
50000,2.0,5.0,6,33880858,2500,,Liétor,"Campo de Hellín, Albacete",
99000,3.0,4.0,4,2036611,75,133,Pozohondo,"Campo de Hellín, Albacete",
55000,1.0,3.0,3,36552798,120,,Pozohondo,"Campo de Hellín, Albacete",
650000,6.0,6.0,2,81230569,1000,,Hellín,"Campo de Hellín, Albacete",2008
28900,1.0,3.0,0,81475441,190,120,Tobarra,"Campo de Hellín, Albacete",
55000,1.0,2.0,0,81475937,114,,Tobarra,"Campo de Hellín, Albacete",
25000,1.0,3.0,1,81476028,126,115,Tobarra,"Campo de Hellín, Albacete",
80000,1.0,2.0,0,81476096,124,109,Tobarra,"Campo de Hellín, Albacete",
40000,1.0,3.0,1,81476407,95,93,Tobarra,"Campo de Hellín, Albacete",
85000,2.0,3.0,0,81947710,146,120,Ontur,"Campo de Hellín, Albacete",
170000,5.0,10.0,2,82106223,450,,Pozohondo,"Campo de Hellín, Albacete",
48000,1.0,3.0,1,82324886,80,,Hellín,"Campo de Hellín, Albacete",
70000,2.0,3.0,1,83465205,168,,Tobarra,"Campo de Hellín, Albacete",
65000,1.0,3.0,2,36908232,1092,,Albatana,"Campo de Hellín, Albacete",
90000,2.0,5.0,3,28098077,320,,Pozohondo,"Campo de Hellín, Albacete",
60000,2.0,4.0,1,28997021,90,,Hellín,"Campo de Hellín, Albacete",
70000,1.0,2.0,1,39626668,100,85,Hellín,"Campo de Hellín, Albacete",
42000,1.0,2.0,1,29276666,72,,Hellín,"Campo de Hellín, Albacete",
135000,4.0,3.0,4,37932056,210,,Tobarra,"Campo de Hellín, Albacete",
198000,1.0,4.0,2,38084928,300,,Tobarra,"Campo de Hellín, Albacete",
120000,1.0,3.0,2,82817467,4000,,Hellín,"Campo de Hellín, Albacete",
38900,1.0,3.0,4,83296401,134,,Albatana,"Campo de Hellín, Albacete",
70000,2.0,3.0,1,83429823,160,122,Tobarra,"Campo de Hellín, Albacete",2004
95000,2.0,4.0,4,37912317,160,,Tobarra,"Campo de Hellín, Albacete",
78300,1.0,4.0,1,83966293,95,90,Tobarra,"Campo de Hellín, Albacete",
51400,1.0,3.0,1,83966298,82,80,Hellín,"Campo de Hellín, Albacete",
70830,0.0,3.0,1,83966313,107,85,Tobarra,"Campo de Hellín, Albacete",
160000,2.0,4.0,6,84098998,17000,180,Hellín,"Campo de Hellín, Albacete",
60000,1.0,3.0,1,38058683,90,,Hellín,"Campo de Hellín, Albacete",
59000,1.0,4.0,0,81475636,269,215,Tobarra,"Campo de Hellín, Albacete",
30300,2.0,4.0,1,81476859,126,104,Tobarra,"Campo de Hellín, Albacete",
18700,1.0,1.0,0,81477035,96,,Tobarra,"Campo de Hellín, Albacete",
82600,1.0,3.0,1,81477123,110,80,Hellín,"Campo de Hellín, Albacete",
29000,1.0,3.0,0,81477469,123,,Ontur,"Campo de Hellín, Albacete",
59000,1.0,3.0,0,82482131,172,,Tobarra,"Campo de Hellín, Albacete",
75000,2.0,2.0,1,83132336,75,69,Tobarra,"Campo de Hellín, Albacete",
35000,1.0,4.0,1,84430116,85,,Hellín,"Campo de Hellín, Albacete",
190000,2.0,5.0,4,1643146,670,197,Pozohondo,"Campo de Hellín, Albacete",
120000,2.0,4.0,1,1774636,140,114,Hellín,"Campo de Hellín, Albacete",
75000,1.0,3.0,1,363572,90,,Ontur,"Campo de Hellín, Albacete",
35000,1.0,4.0,4,25603260,130,110,Hellín,"Campo de Hellín, Albacete",
24000,1.0,3.0,1,27728786,80,70,Hellín,"Campo de Hellín, Albacete",
368000,2.0,9.0,2,29179896,690,350,Hellín,"Campo de Hellín, Albacete",
144000,2.0,4.0,4,29570324,150,100,Hellín,"Campo de Hellín, Albacete",
55000,2.0,3.0,1,30513276,125,,Tobarra,"Campo de Hellín, Albacete",
25000,1.0,3.0,3,31790566,80,,Hellín,"Campo de Hellín, Albacete",
25000,2.0,5.0,3,32136053,200,150,Pozohondo,"Campo de Hellín, Albacete",
