price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
25000,1.0,2.0,7,30025871,90,,Peleagonzalo,"Alfoz de Toro, Zamora",,0
38000,2.0,3.0,9,32756553,120,,Toro,"Alfoz de Toro, Zamora",,0
125000,2.0,3.0,3,33077382,105,87,Toro,"Alfoz de Toro, Zamora",,1
40000,1.0,3.0,0,34705244,80,70,Toro,"Alfoz de Toro, Zamora",,0
11000,1.0,3.0,6,34833614,101,,Toro,"Alfoz de Toro, Zamora",,0
78000,2.0,3.0,0,34998830,121,87,Toro,"Alfoz de Toro, Zamora",,1
105000,1.0,4.0,2,35555027,635,,Toro,"Alfoz de Toro, Zamora",,0
170000,2.0,3.0,1,36256168,170,130,Toro,"Alfoz de Toro, Zamora",,1
420000,4.0,4.0,3,36466690,390,,Toro,"Alfoz de Toro, Zamora",,0
41000,1.0,3.0,0,36821043,70,,Toro,"Alfoz de Toro, Zamora",,0
79500,2.0,4.0,0,34083824,133,114,Toro,"Alfoz de Toro, Zamora",,0
120000,1.0,3.0,3,38355034,110,,Toro,"Alfoz de Toro, Zamora",,0
129000,1.0,4.0,3,39145176,1400,150,Toro,"Alfoz de Toro, Zamora",,1
122000,2.0,4.0,0,39601541,120,90,Toro,"Alfoz de Toro, Zamora",,1
11000,1.0,3.0,3,39917116,101,,Toro,"Alfoz de Toro, Zamora",,0
60000,1.0,4.0,2,40008842,250,,Toro,"Alfoz de Toro, Zamora",,1
60000,3.0,3.0,3,82629445,117,,Toro,"Alfoz de Toro, Zamora",,0
25500,1.0,4.0,2,82697992,110,100,Vezdemarban,"Alfoz de Toro, Zamora",,0
44961,1.0,4.0,3,38662385,220,,Pinilla de Toro,"Alfoz de Toro, Zamora",,0
40000,1.0,3.0,2,84821857,180,178,Pozoantiguo,"Alfoz de Toro, Zamora",,0
89000,2.0,3.0,4,32313406,85,,Toro,"Alfoz de Toro, Zamora",,1
28500,1.0,3.0,1,33598483,166,130,Toro,"Alfoz de Toro, Zamora",,0
44000,1.0,3.0,0,35791568,79,61,Toro,"Alfoz de Toro, Zamora",,0
200000,2.0,3.0,3,84386853,600,,Toro,"Alfoz de Toro, Zamora",,1
48900,1.0,3.0,0,84291953,118,84,Toro,"Alfoz de Toro, Zamora",1985,0
53000,2.0,2.0,2,35276918,100,85,Toro,"Alfoz de Toro, Zamora",,0
100000,3.0,4.0,1,31722302,205,175,Morales de Toro,"Alfoz de Toro, Zamora",,1
83000,3.0,4.0,7,31722303,209,168,Morales de Toro,"Alfoz de Toro, Zamora",,1
83000,3.0,4.0,7,31722304,209,168,Morales de Toro,"Alfoz de Toro, Zamora",,1
83000,3.0,4.0,7,31722305,209,168,Morales de Toro,"Alfoz de Toro, Zamora",,1
83000,3.0,4.0,7,31722306,209,168,Morales de Toro,"Alfoz de Toro, Zamora",,1
100000,3.0,4.0,7,31722307,209,168,Toro,"Alfoz de Toro, Zamora",,1
83000,3.0,4.0,7,31722308,209,168,Toro,"Alfoz de Toro, Zamora",,1
83000,3.0,4.0,7,31722309,209,168,Toro,"Alfoz de Toro, Zamora",,1
83000,3.0,4.0,7,31722310,209,168,Toro,"Alfoz de Toro, Zamora",,1
83000,3.0,4.0,7,31722311,209,168,Toro,"Alfoz de Toro, Zamora",,1
83000,3.0,4.0,7,31722312,209,168,Toro,"Alfoz de Toro, Zamora",,1
100000,3.0,4.0,7,31722313,209,168,Toro,"Alfoz de Toro, Zamora",,1
198000,3.0,4.0,1,39385514,322,,Toro,"Alfoz de Toro, Zamora",2008,1
44000,1.0,3.0,0,40080281,80,62,Toro,"Alfoz de Toro, Zamora",1980,0
48000,1.0,1.0,0,40470273,60,50,Toro,"Alfoz de Toro, Zamora",,1
24000,1.0,4.0,0,81822996,100,90,Morales de Toro,"Alfoz de Toro, Zamora",,0
80000,2.0,4.0,0,83080590,104,,Toro,"Alfoz de Toro, Zamora",1990,0
120000,2.0,5.0,1,36043987,200,,Toro,"Alfoz de Toro, Zamora",,0
48900,1.0,3.0,0,84260304,118,,Toro,"Alfoz de Toro, Zamora",,0
168000,2.0,3.0,1,39842956,170,,Morales de Toro,"Alfoz de Toro, Zamora",,1
21000,1.0,4.0,1,29177373,212,,Vezdemarban,"Alfoz de Toro, Zamora",,1
150000,2.0,3.0,3,32995986,2777,100,Toro,"Alfoz de Toro, Zamora",,1
195000,3.0,3.0,3,25878582,41,166,Toro,"Alfoz de Toro, Zamora",,0
50000,1.0,11.0,2,38041420,100,,Toro,"Alfoz de Toro, Zamora",,0
48000,1.0,4.0,2,39023178,109,,Toro,"Alfoz de Toro, Zamora",,0
125000,1.0,3.0,3,39679154,1000,120,Venialbo,"Alfoz de Toro, Zamora",,1
180000,1.0,8.0,1,82376799,350,160,Toro,"Alfoz de Toro, Zamora",,1
60000,2.0,3.0,0,34821315,93,78,Toro,"Alfoz de Toro, Zamora",,0
40000,1.0,1.0,1,84762481,60,,Toro,"Alfoz de Toro, Zamora",,0
38900,1.0,3.0,1,32241880,145,,Toro,"Alfoz de Toro, Zamora",,0
59000,2.0,2.0,3,35012315,244,,Toro,"Alfoz de Toro, Zamora",,0
48000,1.0,3.0,4,1786269,75,,Toro,"Alfoz de Toro, Zamora",,0
100000,5.0,10.0,2,29338806,400,,Toro,"Alfoz de Toro, Zamora",,0
24000,1.0,4.0,2,40083790,200,180,Vezdemarban,"Alfoz de Toro, Zamora",,0
49000,1.0,6.0,3,82621574,53,300,Vezdemarban,"Alfoz de Toro, Zamora",,1
119000,2.0,3.0,0,82895523,97,90,Toro,"Alfoz de Toro, Zamora",,1
19900,1.0,3.0,3,83086273,80,64,Toro,"Alfoz de Toro, Zamora",,0
75000,3.0,4.0,9,83461247,180,,Villalonso,"Alfoz de Toro, Zamora",,0
180000,2.0,3.0,1,84941980,175,,Toro,"Alfoz de Toro, Zamora",,0
115000,2.0,3.0,5,84867182,100,90,Toro,"Alfoz de Toro, Zamora",,1
30000,1.0,2.0,3,30203346,100,,Vezdemarban,"Alfoz de Toro, Zamora",,0
68000,2.0,4.0,2,39951753,600,130,Villalonso,"Alfoz de Toro, Zamora",,0
55000,1.0,4.0,3,83674567,450,,Toro,"Alfoz de Toro, Zamora",,0
75000,1.0,3.0,0,40074477,102,82,Toro,"Alfoz de Toro, Zamora",1988,0
36300,1.0,3.0,1,35674736,137,110,Peleagonzalo,"Alfoz de Toro, Zamora",,0
108500,2.0,2.0,0,84308448,88,73,Toro,"Alfoz de Toro, Zamora",,0
333000,7.0,9.0,9,25258672,1800,,Villalonso,"Alfoz de Toro, Zamora",,0
60000,2.0,6.0,2,34267822,40,,Villalonso,"Alfoz de Toro, Zamora",,0
198000,2.0,3.0,5,82045557,95,,Toro,"Alfoz de Toro, Zamora",,1
63000,1.0,3.0,0,40138356,109,86,Toro,"Alfoz de Toro, Zamora",,0
75000,2.0,4.0,0,28603824,132,120,Toro,"Alfoz de Toro, Zamora",,1
40000,1.0,3.0,2,39435450,240,,Venialbo,"Alfoz de Toro, Zamora",,0
44961,1.0,4.0,1,40333758,158,219,Pinilla de Toro,"Alfoz de Toro, Zamora",,0
75000,2.0,4.0,0,387306,130,120,Toro,"Alfoz de Toro, Zamora",,0
45000,1.0,4.0,2,38373545,221,,Villalonso,"Alfoz de Toro, Zamora",,1
128500,2.0,4.0,3,33922570,230,,Pozoantiguo,"Alfoz de Toro, Zamora",,0
60000,1.0,4.0,2,36566548,150,,Villalonso,"Alfoz de Toro, Zamora",,0
4950,0.0,3.0,2,83682192,80,,Matilla la Seca,"Alfoz de Toro, Zamora",1800,0
180000,3.0,8.0,1,84742146,80,180,Toro,"Alfoz de Toro, Zamora",1965,0
85000,1.0,2.0,5,40523664,85,75,Toro,"Alfoz de Toro, Zamora",1990,1
210000,2.0,4.0,1,84520624,217,192,Toro,"Alfoz de Toro, Zamora",2008,1
70900,2.0,3.0,0,84908425,81,68,Toro,"Alfoz de Toro, Zamora",2007,0
68500,2.0,3.0,0,84907874,77,65,Toro,"Alfoz de Toro, Zamora",2007,0
75800,2.0,3.0,0,84907884,87,73,Toro,"Alfoz de Toro, Zamora",2007,0
71450,2.0,3.0,0,84907877,86,72,Toro,"Alfoz de Toro, Zamora",2007,0
18000,1.0,4.0,1,82097724,212,,Vezdemarban,"Alfoz de Toro, Zamora",,0
650000,10.0,18.0,1,40026515,200,600,Toro,"Alfoz de Toro, Zamora",1966,0
150000,2.0,3.0,0,83280735,90,89,Toro,"Alfoz de Toro, Zamora",,1
32000,1.0,3.0,9,83939197,701,525,Villardondiego,"Alfoz de Toro, Zamora",1900,1
55000,2.0,3.0,6,82794362,100,,Villalonso,"Alfoz de Toro, Zamora",1900,0
36300,1.0,3.0,7,85017386,125,110,Peleagonzalo,"Alfoz de Toro, Zamora",,0
38900,1.0,3.0,7,85017401,145,,Toro,"Alfoz de Toro, Zamora",,0
42150,2.0,3.0,0,85017410,166043,,Toro,"Alfoz de Toro, Zamora",,0
71450,2.0,3.0,0,85017403,86,85,Toro,"Alfoz de Toro, Zamora",,1
75800,2.0,3.0,0,85017404,87,86,Toro,"Alfoz de Toro, Zamora",,1
68500,2.0,3.0,0,85017406,77,76,Toro,"Alfoz de Toro, Zamora",,1
70900,2.0,3.0,0,85017408,80,,Toro,"Alfoz de Toro, Zamora",,1
price,0.0,0.0,10,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,1
38700,1.0,3.0,7,85017383,80,,Fuentesauco,"Tierra del Vino - La Guareña, Zamora",,0
26000,1.0,1.0,2,82176402,96,,Fuentelapeña,"Tierra del Vino - La Guareña, Zamora",,0
30000,2.0,3.0,1,37491267,160,,Corrales,"Tierra del Vino - La Guareña, Zamora",,0
30000,2.0,3.0,1,27405162,312,,Villalazan,"Tierra del Vino - La Guareña, Zamora",,0
15000,1.0,3.0,2,35399667,80,75,Argujillo,"Tierra del Vino - La Guareña, Zamora",,1
48000,0.0,2.0,3,26603624,225,95,Moraleja del Vino,"Tierra del Vino - La Guareña, Zamora",,0
115000,2.0,4.0,2,39438364,200,,El Cubo de Tierra del Vino,"Tierra del Vino - La Guareña, Zamora",,1
60000,1.0,4.0,3,35134054,120,,Cañizal,"Tierra del Vino - La Guareña, Zamora",,0
100000,2.0,4.0,2,37468903,180,,Corrales,"Tierra del Vino - La Guareña, Zamora",,1
45000,1.0,3.0,2,82515472,109,,Fuentesauco,"Tierra del Vino - La Guareña, Zamora",,0
50000,1.0,4.0,3,28067766,305,,Madridanos,"Tierra del Vino - La Guareña, Zamora",,1
70000,1.0,4.0,2,81631208,170,,Moraleja del Vino,"Tierra del Vino - La Guareña, Zamora",,1
45000,1.0,4.0,2,39573481,330,,Corrales,"Tierra del Vino - La Guareña, Zamora",1970,1
