ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,2 plantas,0,0,33124078,1,,Alcubillas,"Calle cruces, 4"," Calle cruces, 4 , Alcubillas , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",300,,2019-04-12,32000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,no indicado,2 plantas,0,0,33806422,3,,Villamanrique,"Calle maestro cabrera, 50"," Calle maestro cabrera, 50 , Villamanrique , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",29,,2019-04-12,105600,0,6.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,1 planta,0,0,40136590,1,,Villanueva de los Infantes,"cidas, 22"," cidas, 22 , Villanueva de los Infantes , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",100,,2019-04-12,27000,0,2.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,1,,no indicado,2 plantas,0,0,29721088,0,,Montiel,"Calle Don Juan de Borbón, 27"," Calle Don Juan de Borbón, 27 , Montiel , Ciudad Real ",,Ciudad Real,197,,2019-04-12,54000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,en trámite,2 plantas,1,0,29987585,1,,Villamanrique,"Calle Cervantes, 19"," Calle Cervantes, 19 , Villamanrique , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",75,,2019-04-12,95000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,0,0,,inmueble exento,2 plantas,1,0,37024284,0,,Villanueva de los Infantes,"Calle Don José Francisco de Bustos, 20"," Calle Don José Francisco de Bustos, 20 , Villanueva de los Infantes , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",300,,2019-04-12,169000,0,6.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,2 plantas,1,0,2039651,3,,Alhambra,"Calle Jesus, 3"," Calle Jesus, 3 , Alhambra , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",120,,2019-04-12,85000,0,5.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,en trámite,planta 2ª exterior,0,0,40487011,4,0,Alhambra,"Plaza Diputación Provincial A, 8"," Plaza Diputación Provincial A, 8 , Alhambra , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",96,,2019-04-12,28000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,1 planta,0,0,82137141,1,,Cozar,"Calle Pozo, 29 B"," Calle Pozo, 29 B , Cozar , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",145,,2019-04-12,22500,0,2.0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,en trámite,1 planta,1,0,33383759,1,,Torre de Juan Abad,"Calle eras altas, 8"," Calle eras altas, 8 , Torre de Juan Abad , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",306,231,2019-04-12,180000,0,5.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
