model,MAPE_mean,MAPE_std,MAPE_min,MAPE_max,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max,R2_mean,R2_std,R2_min,R2_max,training_time_mean,training_time_std,n_provinces
XGBoost,4.5416,2.3326,1.8263,6.7779,37.1613,6.9254,29.514,45.4832,27.0865,6.4793,18.5731,33.4025,0.8716,0.123,0.7415,0.9814,0.1385,0.1346,4
Support Vector Regression,5.0864,3.111,1.5472,9.0838,49.7785,22.0601,33.6328,82.2053,30.9084,13.2867,16.4458,47.8098,0.8195,0.1851,0.5515,0.9682,0.0677,0.1213,4
Gradient Boosting,4.9975,3.5919,0.8703,9.1808,38.5907,16.6451,18.5119,55.6282,27.5866,14.8384,8.7172,43.4432,0.8124,0.2003,0.5898,0.9945,0.1789,0.1143,4
Random Forest,6.3512,4.256,1.2265,10.5715,44.906,15.1353,27.917,57.9892,35.5016,16.678,12.9267,50.5187,0.7783,0.2235,0.5641,0.9874,0.3833,0.1453,4
LightGBM,6.9311,4.5449,2.0415,11.8507,49.8526,11.2354,34.4729,61.4613,37.2814,11.5535,20.1068,45.089,0.6967,0.3545,0.2175,0.9808,0.0518,0.043,4
Decision Tree,8.9642,7.8001,1.8861,20.0007,69.2714,41.3354,33.337,124.8011,50.7891,34.5955,18.6444,96.6964,0.324,0.955,-1.0647,0.9821,0.0064,0.0023,4
