price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace,province,market_type,price_per_m2,property_age,room_density,luxury_score,accessibility_score,space_efficiency
900,1.0,1.0,15,84058128,60,55.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,15.0,49.0,0.016666666666666666,1.0,1.0,0.9166666666666666
1150,2.0,2.0,15,84058231,90,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,12.777777777777779,49.0,0.022222222222222223,0.0,1.0,0.9444444444444444
900,1.0,3.0,15,84086374,80,75.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,bizkaia,rental,11.25,49.0,0.0375,0.0,2.0,0.9375
800,1.0,2.0,15,84086520,80,75.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,bizkaia,rental,10.0,49.0,0.025,1.0,2.0,0.9375
600,2.0,2.0,17,84376268,75,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,bizkaia,rental,8.0,49.0,0.02666666666666667,3.0,1.0,1.0
850,1.0,1.0,15,84402120,55,50.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,bizkaia,rental,15.454545454545455,49.0,0.01818181818181818,0.0,2.0,0.9090909090909091
825,1.0,3.0,15,84523686,70,85.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,11.785714285714286,49.0,0.04285714285714286,0.0,1.0,1.0
950,1.0,2.0,15,84546647,68,85.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,13.970588235294118,49.0,0.029411764705882353,1.0,1.0,1.0
950,1.0,2.0,15,84553820,80,70.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,bizkaia,rental,11.875,49.0,0.025,1.0,1.0,0.875
1375,2.0,3.0,15,84564175,110,98.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bizkaia,rental,12.5,49.0,0.02727272727272727,1.0,1.0,0.8909090909090909
550,1.0,3.0,15,84611240,80,75.0,Sopuerta,"Encartaciones, Vizcaya",1976.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bizkaia,rental,6.875,49.0,0.0375,0.0,0.0,0.9375
700,1.0,2.0,15,84737300,65,61.0,Gorliz,"Uribe-Butroe, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bizkaia,rental,10.76923076923077,49.0,0.03076923076923077,0.0,0.0,0.9384615384615385
850,1.0,2.0,15,84736946,68,85.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bizkaia,rental,12.5,49.0,0.029411764705882353,0.0,0.0,1.0
1100,1.0,3.0,15,84485311,85,80.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,12.941176470588236,49.0,0.03529411764705882,0.0,1.0,0.9411764705882353
1200,1.0,2.0,15,84485501,70,65.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bizkaia,rental,17.142857142857142,49.0,0.02857142857142857,1.0,1.0,0.9285714285714286
800,2.0,2.0,15,84578413,71,60.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,11.267605633802816,49.0,0.028169014084507043,0.0,1.0,0.8450704225352113
990,1.0,3.0,15,84592819,75,72.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,13.2,49.0,0.04,0.0,1.0,0.96
700,1.0,1.0,15,84646961,65,60.0,Leioa,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,bizkaia,rental,10.76923076923077,49.0,0.015384615384615385,2.0,1.0,0.9230769230769231
700,1.0,2.0,15,84734171,70,85.0,Erandio,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,10.0,49.0,0.02857142857142857,0.0,1.0,1.0
670,1.0,2.0,15,82127801,54,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bizkaia,rental,12.407407407407407,49.0,0.037037037037037035,0.0,0.0,1.0
