price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage,province,market_type,price_per_m2,property_age,room_density,luxury_score,space_efficiency
225000.0,2.0,3.0,3,40408430,110.0,104.0,Zuya,Álava,1993.0,0.0,alava,sales,2045.4545454545455,32.0,0.02727272727272727,0.0,0.9454545454545454
115000.0,1.0,3.0,3,26838682,95.0,90.0,Urcabustaiz,"Zuya, Álava",1993.0,0.0,alava,sales,1210.5263157894738,32.0,0.031578947368421054,0.0,0.9473684210526315
103000.0,1.0,2.0,3,35317556,107.0,92.0,Urcabustaiz,"Zuya, Álava",1993.0,1.0,alava,sales,962.6168224299065,32.0,0.018691588785046728,1.0,0.8598130841121495
97000.0,1.0,2.0,3,36008855,137.0,107.0,Urcabustaiz,"Zuya, Álava",2008.0,0.0,alava,sales,708.029197080292,17.0,0.014598540145985401,0.0,0.781021897810219
295000.0,3.0,3.0,6,39243049,159.0,129.0,Zigoitia,"Zuya, Álava",2008.0,1.0,alava,sales,1855.3459119496856,17.0,0.018867924528301886,1.0,0.8113207547169812
595000.0,3.0,5.0,0,31258955,220.0,87.0,Zigoitia,"Zuya, Álava",1993.0,1.0,alava,sales,2704.5454545454545,32.0,0.022727272727272728,1.0,0.39545454545454545
190000.0,3.0,3.0,9,31287413,120.0,87.0,Urcabustaiz,"Zuya, Álava",1993.0,1.0,alava,sales,1583.3333333333333,32.0,0.025,1.0,0.725
342500.0,3.0,4.0,0,31643223,238.0,87.0,Zigoitia,"Zuya, Álava",1993.0,1.0,alava,sales,1439.0756302521008,32.0,0.01680672268907563,1.0,0.36554621848739494
148000.0,2.0,3.0,3,34648426,98.0,87.0,Urcabustaiz,"Zuya, Álava",1993.0,1.0,alava,sales,1510.204081632653,32.0,0.030612244897959183,1.0,0.8877551020408163
545000.0,3.0,5.0,0,37025424,270.0,87.0,Arrazua-Ubarrundia,"Zuya, Álava",1993.0,0.0,alava,sales,2018.5185185185185,32.0,0.018518518518518517,0.0,0.32222222222222224
286000.0,2.0,4.0,0,38615523,140.0,87.0,Urcabustaiz,"Zuya, Álava",1993.0,0.0,alava,sales,2042.857142857143,32.0,0.02857142857142857,0.0,0.6214285714285714
78000.0,1.0,3.0,3,81788066,73.0,87.0,Legutiano,"Zuya, Álava",1993.0,0.0,alava,sales,1068.4931506849316,32.0,0.0410958904109589,0.0,1.0
311500.0,3.0,4.0,5,38278915,180.0,87.0,Legutiano,"Zuya, Álava",1993.0,0.0,alava,sales,1730.5555555555557,32.0,0.022222222222222223,0.0,0.48333333333333334
370000.0,2.0,5.0,0,38313564,220.0,87.0,Zigoitia,"Zuya, Álava",1993.0,0.0,alava,sales,1681.8181818181818,32.0,0.022727272727272728,0.0,0.39545454545454545
62500.0,1.0,3.0,3,82983406,85.0,87.0,Urcabustaiz,"Zuya, Álava",1993.0,0.0,alava,sales,735.2941176470588,32.0,0.03529411764705882,0.0,1.0
135000.0,2.0,3.0,3,83899072,90.0,87.0,Legutiano,"Zuya, Álava",1993.0,1.0,alava,sales,1500.0,32.0,0.03333333333333333,1.0,0.9666666666666667
295000.0,3.0,4.0,5,38294021,100.0,110.0,Arrazua-Ubarrundia,"Zuya, Álava",2018.0,1.0,alava,sales,2950.0,7.0,0.04,1.0,1.0
180000.0,2.0,3.0,3,27463079,100.0,90.0,Urcabustaiz,"Zuya, Álava",1993.0,1.0,alava,sales,1800.0,32.0,0.03,1.0,0.9
190000.0,1.0,3.0,3,81459665,97.0,73.0,Urcabustaiz,"Zuya, Álava",2005.0,1.0,alava,sales,1958.7628865979382,20.0,0.030927835051546393,1.0,0.7525773195876289
120000.0,2.0,2.0,3,82487241,82.0,71.0,Urcabustaiz,"Zuya, Álava",1993.0,1.0,alava,sales,1463.4146341463415,32.0,0.024390243902439025,1.0,0.8658536585365854
122000.0,1.0,3.0,3,36917932,91.0,73.0,Urcabustaiz,"Zuya, Álava",1993.0,0.0,alava,sales,1340.6593406593406,32.0,0.03296703296703297,0.0,0.8021978021978022
420000.0,3.0,3.0,0,84659518,146.0,87.0,Zigoitia,"Zuya, Álava",1993.0,1.0,alava,sales,2876.7123287671234,32.0,0.02054794520547945,1.0,0.5958904109589042
130000.0,2.0,3.0,3,26928207,98.0,84.0,Urcabustaiz,"Zuya, Álava",1993.0,0.0,alava,sales,1326.530612244898,32.0,0.030612244897959183,0.0,0.8571428571428571
248000.0,3.0,4.0,0,34049371,272.0,87.0,Aramaio,"Zuya, Álava",1993.0,0.0,alava,sales,911.7647058823529,32.0,0.014705882352941176,0.0,0.31985294117647056
120000.0,1.0,2.0,3,81991911,65.0,87.0,Legutiano,"Zuya, Álava",1993.0,1.0,alava,sales,1846.1538461538462,32.0,0.03076923076923077,1.0,1.0
119000.0,1.0,2.0,3,32852498,82.0,67.0,Urcabustaiz,"Zuya, Álava",1993.0,0.0,alava,sales,1451.219512195122,32.0,0.024390243902439025,0.0,0.8170731707317073
78000.0,1.0,1.0,4,81412786,129.0,87.0,Legutiano,"Zuya, Álava",1993.0,0.0,alava,sales,604.6511627906976,32.0,0.007751937984496124,0.0,0.6744186046511628
360000.0,3.0,3.0,8,31273059,142.0,87.0,Zuya,Álava,1993.0,1.0,alava,sales,2535.211267605634,32.0,0.02112676056338028,1.0,0.6126760563380281
180000.0,2.0,3.0,3,34465697,100.0,87.0,Urcabustaiz,"Zuya, Álava",1993.0,1.0,alava,sales,1800.0,32.0,0.03,1.0,0.87
190000.0,2.0,3.0,3,34595547,101.0,87.0,Legutiano,"Zuya, Álava",1993.0,0.0,alava,sales,1881.1881188118812,32.0,0.0297029702970297,0.0,0.8613861386138614
490000.0,3.0,3.0,0,36222515,260.0,87.0,Urcabustaiz,"Zuya, Álava",1993.0,1.0,alava,sales,1884.6153846153845,32.0,0.011538461538461539,1.0,0.3346153846153846
508500.0,3.0,4.0,0,36251627,220.0,87.0,Arrazua-Ubarrundia,"Zuya, Álava",1993.0,1.0,alava,sales,2311.3636363636365,32.0,0.01818181818181818,1.0,0.39545454545454545
345000.0,3.0,3.0,8,38278143,142.0,87.0,Zuya,Álava,1993.0,1.0,alava,sales,2429.5774647887324,32.0,0.02112676056338028,1.0,0.6126760563380281
379000.0,2.0,4.0,0,38303160,235.0,87.0,Zigoitia,"Zuya, Álava",1993.0,0.0,alava,sales,1612.7659574468084,32.0,0.01702127659574468,0.0,0.3702127659574468
150000.0,2.0,3.0,3,32255398,90.0,87.0,Urcabustaiz,"Zuya, Álava",1993.0,1.0,alava,sales,1666.6666666666667,32.0,0.03333333333333333,1.0,0.9666666666666667
355000.0,3.0,3.0,5,35511480,90.0,130.0,Zuya,Álava,1993.0,1.0,alava,sales,3944.4444444444443,32.0,0.03333333333333333,1.0,1.0
155000.0,1.0,1.0,1,37480891,84.0,65.0,Zuya,Álava,1993.0,1.0,alava,sales,1845.2380952380952,32.0,0.011904761904761904,1.0,0.7738095238095238
195000.0,1.0,3.0,3,81381438,150.0,127.0,Zuya,Álava,1993.0,0.0,alava,sales,1300.0,32.0,0.02,0.0,0.8466666666666667
198000.0,2.0,3.0,3,81658883,120.0,100.0,Urcabustaiz,"Zuya, Álava",1993.0,1.0,alava,sales,1650.0,32.0,0.025,1.0,0.8333333333333334
110000.0,1.0,3.0,3,83870736,81.0,78.0,Zuya,Álava,1968.0,0.0,alava,sales,1358.0246913580247,57.0,0.037037037037037035,0.0,0.9629629629629629
198000.0,2.0,3.0,3,81657025,120.0,100.0,Urcabustaiz,"Zuya, Álava",1993.0,1.0,alava,sales,1650.0,32.0,0.025,1.0,0.8333333333333334
97000.0,1.0,3.0,3,314071,80.0,87.0,Urcabustaiz,"Zuya, Álava",1993.0,0.0,alava,sales,1212.5,32.0,0.0375,0.0,1.0
270000.0,2.0,2.0,0,84540728,180.0,71.0,Arrazua-Ubarrundia,"Zuya, Álava",2009.0,0.0,alava,sales,1500.0,16.0,0.011111111111111112,0.0,0.39444444444444443
105000.0,1.0,3.0,3,84630756,75.0,68.0,Aramaio,"Zuya, Álava",1993.0,0.0,alava,sales,1400.0,32.0,0.04,0.0,0.9066666666666666
150000.0,2.0,3.0,9,391635,120.0,107.0,Urcabustaiz,"Zuya, Álava",2005.0,1.0,alava,sales,1250.0,20.0,0.025,1.0,0.8916666666666667
175000.0,3.0,3.0,9,39577437,160.0,145.0,Legutiano,"Zuya, Álava",2005.0,0.0,alava,sales,1093.75,20.0,0.01875,0.0,0.90625
340000.0,3.0,4.0,0,81817249,162.0,87.0,Zuya,Álava,1993.0,1.0,alava,sales,2098.7654320987654,32.0,0.024691358024691357,1.0,0.5370370370370371
165000.0,2.0,3.0,3,83605023,95.0,82.0,Urcabustaiz,"Zuya, Álava",1993.0,1.0,alava,sales,1736.842105263158,32.0,0.031578947368421054,1.0,0.8631578947368421
110000.0,1.0,3.0,3,40164602,80.0,87.0,Urcabustaiz,"Zuya, Álava",1993.0,1.0,alava,sales,1375.0,32.0,0.0375,1.0,1.0
80000.0,1.0,3.0,3,83068149,85.0,80.0,Urcabustaiz,"Zuya, Álava",1993.0,0.0,alava,sales,941.1764705882352,32.0,0.03529411764705882,0.0,0.9411764705882353
140000.0,1.0,1.0,1,82337353,65.0,55.0,Zuya,Álava,1993.0,1.0,alava,sales,2153.846153846154,32.0,0.015384615384615385,1.0,0.8461538461538461
190000.0,2.0,2.0,3,82337714,82.0,72.0,Zuya,Álava,1993.0,1.0,alava,sales,2317.0731707317073,32.0,0.024390243902439025,1.0,0.8780487804878049
143000.0,2.0,3.0,3,84831639,104.0,91.0,Urcabustaiz,"Zuya, Álava",1998.0,0.0,alava,sales,1375.0,27.0,0.028846153846153848,0.0,0.875
72500.0,1.0,2.0,3,36667134,58.0,49.0,Legutiano,"Zuya, Álava",1993.0,1.0,alava,sales,1250.0,32.0,0.034482758620689655,1.0,0.8448275862068966
79000.0,1.0,3.0,3,36944102,85.0,80.0,Urcabustaiz,"Zuya, Álava",1968.0,1.0,alava,sales,929.4117647058823,57.0,0.03529411764705882,1.0,0.9411764705882353
295000.0,3.0,4.0,8,33694270,150.0,145.0,Zigoitia,"Zuya, Álava",1993.0,1.0,alava,sales,1966.6666666666667,32.0,0.02666666666666667,1.0,0.9666666666666667
195700.0,2.0,3.0,3,28920417,107.0,87.0,Urcabustaiz,"Zuya, Álava",2004.0,1.0,alava,sales,1828.9719626168223,21.0,0.028037383177570093,1.0,0.8130841121495327
185000.0,2.0,2.0,1,82337560,88.0,78.0,Zuya,Álava,1993.0,1.0,alava,sales,2102.2727272727275,32.0,0.022727272727272728,1.0,0.8863636363636364
380000.0,3.0,3.0,0,83893144,178.0,87.0,Legutiano,"Zuya, Álava",1993.0,1.0,alava,sales,2134.8314606741574,32.0,0.016853932584269662,1.0,0.4887640449438202
165000.0,2.0,3.0,3,81932388,107.0,87.0,Urcabustaiz,"Zuya, Álava",2005.0,1.0,alava,sales,1542.056074766355,20.0,0.028037383177570093,1.0,0.8130841121495327
160000.0,2.0,3.0,5,38244253,150.0,90.0,Salvatierra,Álava,1998.0,1.0,alava,sales,1066.6666666666667,27.0,0.02,1.0,0.6
315000.0,3.0,3.0,5,81768900,250.0,87.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,1.0,alava,sales,1260.0,32.0,0.012,1.0,0.348
180000.0,2.0,3.0,9,39398395,93.0,87.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,1.0,alava,sales,1935.483870967742,32.0,0.03225806451612903,1.0,0.9354838709677419
130000.0,1.0,2.0,3,29468390,80.0,75.0,Salvatierra,Álava,1993.0,1.0,alava,sales,1625.0,32.0,0.025,1.0,0.9375
230000.0,3.0,3.0,9,1812232,120.0,100.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,0.0,alava,sales,1916.6666666666667,32.0,0.025,0.0,0.8333333333333334
200000.0,2.0,3.0,9,84796841,110.0,90.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,1.0,alava,sales,1818.1818181818182,32.0,0.02727272727272727,1.0,0.8181818181818182
112000.0,2.0,3.0,3,37288112,75.0,70.0,Salvatierra,Álava,1993.0,0.0,alava,sales,1493.3333333333333,32.0,0.04,0.0,0.9333333333333333
140000.0,2.0,3.0,3,33432876,90.0,87.0,Asparrena,"Salvatierra, Álava",1993.0,0.0,alava,sales,1555.5555555555557,32.0,0.03333333333333333,0.0,0.9666666666666667
160000.0,2.0,3.0,9,81421298,140.0,87.0,Salvatierra,Álava,1993.0,1.0,alava,sales,1142.857142857143,32.0,0.02142857142857143,1.0,0.6214285714285714
150000.0,2.0,3.0,3,26454775,84.0,76.0,Salvatierra,Álava,1993.0,0.0,alava,sales,1785.7142857142858,32.0,0.03571428571428571,0.0,0.9047619047619048
514000.0,3.0,5.0,0,39185989,280.0,87.0,Elburgo,"Salvatierra, Álava",1993.0,1.0,alava,sales,1835.7142857142858,32.0,0.017857142857142856,1.0,0.3107142857142857
119000.0,1.0,4.0,3,39424658,115.0,100.0,Salvatierra,Álava,1993.0,0.0,alava,sales,1034.7826086956522,32.0,0.034782608695652174,0.0,0.8695652173913043
105000.0,2.0,3.0,3,82675111,76.0,75.0,Salvatierra,Álava,1993.0,1.0,alava,sales,1381.578947368421,32.0,0.039473684210526314,1.0,0.9868421052631579
84000.0,1.0,2.0,3,83672893,89.0,87.0,Salvatierra,Álava,1993.0,0.0,alava,sales,943.8202247191011,32.0,0.02247191011235955,0.0,0.9775280898876404
205000.0,2.0,2.0,9,28694234,86.0,80.0,Alegria-Dulantzi,"Salvatierra, Álava",2007.0,1.0,alava,sales,2383.720930232558,18.0,0.023255813953488372,1.0,0.9302325581395349
125000.0,2.0,3.0,3,32347045,76.0,87.0,Salvatierra,Álava,1993.0,0.0,alava,sales,1644.7368421052631,32.0,0.039473684210526314,0.0,1.0
34200.0,2.0,3.0,6,37110678,146.0,87.0,San Millán,"Salvatierra, Álava",1993.0,0.0,alava,sales,234.24657534246575,32.0,0.02054794520547945,0.0,0.5958904109589042
62000.0,1.0,3.0,3,82465932,95.0,87.0,Salvatierra,Álava,1993.0,0.0,alava,sales,652.6315789473684,32.0,0.031578947368421054,0.0,0.9157894736842105
112500.0,1.0,3.0,2,29826997,150.0,87.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,1.0,alava,sales,750.0,32.0,0.02,1.0,0.58
72000.0,1.0,3.0,3,34294157,77.0,87.0,Salvatierra,Álava,1993.0,0.0,alava,sales,935.0649350649351,32.0,0.03896103896103896,0.0,1.0
122500.0,1.0,2.0,3,37798400,65.0,87.0,Alegria-Dulantzi,"Salvatierra, Álava",2000.0,0.0,alava,sales,1884.6153846153845,25.0,0.03076923076923077,0.0,1.0
80000.0,1.0,3.0,3,2007070,100.0,90.0,Asparrena,"Salvatierra, Álava",1993.0,0.0,alava,sales,800.0,32.0,0.03,0.0,0.9
150000.0,2.0,3.0,9,81418237,90.0,87.0,Alegria-Dulantzi,"Salvatierra, Álava",2003.0,0.0,alava,sales,1666.6666666666667,22.0,0.03333333333333333,0.0,0.9666666666666667
125000.0,2.0,2.0,3,30162811,73.0,87.0,Salvatierra,Álava,1993.0,1.0,alava,sales,1712.3287671232877,32.0,0.0273972602739726,1.0,1.0
110000.0,1.0,2.0,3,35149668,60.0,59.0,Salvatierra,Álava,1993.0,1.0,alava,sales,1833.3333333333333,32.0,0.03333333333333333,1.0,0.9833333333333333
150000.0,1.0,2.0,3,38058673,140.0,130.0,Asparrena,"Salvatierra, Álava",1993.0,1.0,alava,sales,1071.4285714285713,32.0,0.014285714285714285,1.0,0.9285714285714286
152000.0,1.0,2.0,3,29976328,64.0,87.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,0.0,alava,sales,2375.0,32.0,0.03125,0.0,1.0
95000.0,1.0,4.0,4,83187234,150.0,87.0,Asparrena,"Salvatierra, Álava",1993.0,0.0,alava,sales,633.3333333333334,32.0,0.02666666666666667,0.0,0.58
148000.0,1.0,5.0,3,83760097,110.0,104.0,Salvatierra,Álava,1993.0,0.0,alava,sales,1345.4545454545455,32.0,0.045454545454545456,0.0,0.9454545454545454
110000.0,1.0,3.0,3,84287326,130.0,110.0,Salvatierra,Álava,1993.0,0.0,alava,sales,846.1538461538462,32.0,0.023076923076923078,0.0,0.8461538461538461
210000.0,2.0,2.0,5,316443,120.0,87.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,1.0,alava,sales,1750.0,32.0,0.016666666666666666,1.0,0.725
112500.0,1.0,3.0,2,39172349,200.0,87.0,Alegria-Dulantzi,"Salvatierra, Álava",1993.0,0.0,alava,sales,562.5,32.0,0.015,0.0,0.435
100000.0,1.0,3.0,3,83708571,86.0,80.0,Salvatierra,Álava,1993.0,0.0,alava,sales,1162.7906976744187,32.0,0.03488372093023256,0.0,0.9302325581395349
