ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas propano/butano,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, oeste"
más de 5 meses sin actualizar,1,1,2.0,0,0,2004.0,,2 plantas,0,0,82009963,0,0.0,Arcos de la Frontera,"Calle Corredera, 20"," Calle Corredera, 20 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",150,80.0,2019-04-14,300000,0,3.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,2004.0,,2 plantas,1,0,82146591,3,0.0,Arcos de la Frontera,Urb. EL PORTICHUELO," EL PORTICHUELO s/n , Urb. EL PORTICHUELO , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",EL PORTICHUELO s/n,"Sierra de Cádiz, Cádiz",105,80.0,2019-04-14,140000,0,4.0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,1 planta,0,0,82381007,0,0.0,Ubrique,Distrito Casco antiguo - Convento - Caldereto," Avenida Juan de la Rosa, 13 , Distrito Casco antiguo - Convento - Caldereto , Ubrique , Sierra de Cádiz, Cádiz ","Avenida Juan de la Rosa, 13","Sierra de Cádiz, Cádiz",103,80.0,2019-04-14,90000,0,3.0,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,2004.0,no indicado,planta 1ª interior,0,0,82535257,2,0.0,Arcos de la Frontera,"Calle de las Nieves, 23"," Calle de las Nieves, 23 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",167,80.0,2019-04-14,80000,0,4.0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,planta 2ª exterior,1,0,452477,2,0.0,Arcos de la Frontera,"Calle Fuente de Rio, 28"," Calle Fuente de Rio, 28 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",72,80.0,2019-04-14,69000,0,2.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,1,2004.0,inmueble exento,2 plantas,0,1,37339754,4,0.0,Villamartin,"Calle Villamartín, 8"," Calle Villamartín, 8 , Villamartin , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",3000,98.0,2019-04-14,135000,0,3.0,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,bajo exterior,0,0,81138617,2,0.0,El Bosque,"Avenida Juan XXIII, 33"," Avenida Juan XXIII, 33 , El Bosque , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",70,65.0,2019-04-14,80000,0,2.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,2004.0,no indicado,3 plantas,0,0,82531126,0,0.0,El Gastor,"Calle Fuente, 5"," Calle Fuente, 5 , El Gastor , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",166,80.0,2019-04-14,100000,0,3.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,4.0,1,0,2004.0,inmueble exento,3 plantas,1,0,25388227,1,0.0,Arcos de la Frontera,"Calle de Núñez del Prado, 1"," Calle de Núñez del Prado, 1 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",300,650.0,2019-04-14,260000,0,15.0,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,0,2004.0,no indicado,2 plantas,0,0,32787875,0,0.0,Bornos,"Calle arenas, 80"," Calle arenas, 80 , Bornos , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",115,100.0,2019-04-14,55000,0,2.0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,,0,0,34940677,1,0.0,Setenil,"Calle San Roman, 20"," Calle San Roman, 20 , Setenil , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",44,80.0,2019-04-14,44000,0,2.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,2004.0,no indicado,,0,0,35042496,3,0.0,Ubrique,Distrito Casco antiguo - Convento - Caldereto," Calle 4, 19 , Urb. Las Calesas , Distrito Casco antiguo - Convento - Caldereto , Ubrique , Sierra de Cádiz, Cádiz ",Urb. Las Calesas,"Sierra de Cádiz, Cádiz",140,80.0,2019-04-14,150000,0,4.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,en trámite,planta 1ª exterior,1,0,28850286,2,0.0,Arcos de la Frontera,"Calle Panamá, 8"," Calle Panamá, 8 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",82,80.0,2019-04-14,65000,0,3.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,2004.0,no indicado,,0,0,443630,3,0.0,Arcos de la Frontera,"Calle Presidente Niceto Alcalá Zamora, 19"," Calle Presidente Niceto Alcalá Zamora, 19 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",100,80.0,2019-04-14,150200,0,4.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,1.0,1,0,2004.0,,planta 2ª exterior,0,0,81813317,2,0.0,Bornos,Calle Molino Zara s/n," Calle Molino Zara s/n , Bornos , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",117,80.0,2019-04-14,95000,0,3.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,0,2004.0,no indicado,bajo exterior,0,0,1993427,5,0.0,Grazalema,"Tinte Alto, 3"," Tinte Alto, 3 , Grazalema , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",80,80.0,2019-04-14,99000,0,2.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,2 plantas,0,0,28995445,0,0.0,Ubrique,Distrito Centro," Avenida de España, 73 , Distrito Centro , Ubrique , Sierra de Cádiz, Cádiz ","Avenida de España, 73","Sierra de Cádiz, Cádiz",120,113.0,2019-04-14,138000,0,4.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,1,0,2.0,0,0,2004.0,no indicado,3 plantas,1,0,36961962,1,0.0,Villamartin,"Calle Martín de Cantillana, 6"," Calle Martín de Cantillana, 6 , Villamartin , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",320,80.0,2019-04-14,200000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,1.0,0,0,2004.0,no indicado,2 plantas,0,0,39993779,0,0.0,El Bosque,Calle Bajo Guadalquivir s/n," Calle Bajo Guadalquivir s/n , El Bosque , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",165,140.0,2019-04-14,126000,0,1.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,inmueble exento,,0,0,40017775,0,0.0,Arcos de la Frontera,"Calle Adriano Contreras, 7"," Calle Adriano Contreras, 7 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",76,80.0,2019-04-14,85000,0,3.0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,2004.0,no indicado,bajo exterior,0,0,81620949,2,0.0,Prado del Rey,"Camino de Pilar, 2"," Camino de Pilar, 2 , Prado del Rey , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",75,70.0,2019-04-14,68000,0,2.0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,2004.0,en trámite,bajo interior,0,1,82309593,2,0.0,Villamartin,Urb. Pau 8," Calle rigoletto, 730 , Urb. Pau 8 , Villamartin , Sierra de Cádiz, Cádiz ","Calle rigoletto, 730","Sierra de Cádiz, Cádiz",70,65.0,2019-04-14,119950,0,2.0,0,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
más de 5 meses sin actualizar,1,1,2.0,1,0,2002.0,inmueble exento,2 plantas,0,0,82007728,0,0.0,Villamartin,"Calle Pedro Álvarez, 50"," Calle Pedro Álvarez, 50 , Villamartin , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",180,122.0,2019-04-14,85000,0,2.0,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,1 planta,0,0,34328586,1,0.0,Puerto Serrano,"Calle morón, 6"," Calle morón, 6 , Puerto Serrano , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",69,80.0,2019-04-14,24900,0,1.0,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,planta 1ª exterior,0,0,35104021,2,0.0,Benaocaz,"Calle Lavadero, 8"," Calle Lavadero, 8 , Benaocaz , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",50,80.0,2019-04-14,50000,0,2.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,0,2004.0,no indicado,1 planta,0,0,35794552,1,0.0,Arcos de la Frontera,"Calle san francisco, 30"," Calle san francisco, 30 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",230,200.0,2019-04-14,140000,0,5.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,2004.0,no indicado,2 plantas,0,0,37608961,1,0.0,Puerto Serrano,"Avenida Cádiz, 43"," Avenida Cádiz, 43 , Puerto Serrano , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",90,80.0,2019-04-14,125000,0,3.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,bajo exterior,0,0,369152,2,0.0,El Bosque,"Plaza San Antonio, 3"," Plaza San Antonio, 3 , El Bosque , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",55,80.0,2019-04-14,75000,0,1.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,2004.0,no indicado,,1,0,37786132,0,0.0,Arcos de la Frontera,Urb. La Gallarda," La Gallarda, 9 , Urb. La Gallarda , Arcos de la Frontera , Sierra de Cádiz, Cádiz ","La Gallarda, 9","Sierra de Cádiz, Cádiz",1000,80.0,2019-04-14,260000,0,4.0,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,0,2004.0,en trámite,,0,0,38988508,0,0.0,Espera,"Calle alcubilla, 28"," Calle alcubilla, 28 , Espera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",90,80.0,2019-04-14,38000,0,2.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,1.0,0,1,2004.0,en trámite,2 plantas,0,0,40021393,6,0.0,Alcalá del Valle,"Calle Torre-Alhaquime, 18"," Calle Torre-Alhaquime, 18 , Alcalá del Valle , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",24000,80.0,2019-04-14,119000,0,2.0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,planta 1ª exterior,0,0,40071532,2,0.0,Bornos,"Calle Granada, 13"," Calle Granada, 13 , Bornos , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",150,80.0,2019-04-14,80000,0,2.0,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,1.0,1,0,2004.0,en trámite,2 plantas,1,0,82309589,7,0.0,Arcos de la Frontera,"Avenida del Santiscal, 95"," Avenida del Santiscal, 95 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",25,80.0,2019-04-14,80000,0,2.0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,,0,0,394469,3,0.0,Prado del Rey,"Calle Hortales, 12"," Calle Hortales, 12 , Prado del Rey , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",90,80.0,2019-04-14,80000,0,3.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,2004.0,no indicado,,1,0,25566497,3,0.0,Arcos de la Frontera,"Calle Aniceto Alcalá Zamora, 23"," Calle Aniceto Alcalá Zamora, 23 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",55,80.0,2019-04-14,108000,0,4.0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,2004.0,no indicado,2 plantas,1,1,25586790,3,0.0,Ubrique,Distrito Centro," Calle Cardela, 7 , Distrito Centro , Ubrique , Sierra de Cádiz, Cádiz ","Calle Cardela, 7","Sierra de Cádiz, Cádiz",40,138.0,2019-04-14,144000,0,4.0,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,,0,0,29570558,1,0.0,Benaocaz,"Salto del Cabrero, 14"," Salto del Cabrero, 14 , Benaocaz , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",9,80.0,2019-04-14,90000,0,2.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,2004.0,no indicado,2 plantas,0,0,31262181,3,0.0,Prado del Rey,"Calle juan ramon jimenez, 41"," Calle juan ramon jimenez, 41 , Prado del Rey , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",87,80.0,2019-04-14,90000,0,3.0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,planta 1ª exterior,0,0,31270573,2,1.0,Grazalema,"Calle nacimiento, 6"," Calle nacimiento, 6 , Grazalema , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",64,80.0,2019-04-14,70000,0,2.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,,0,0,35073266,3,0.0,Algodonales,"Calle los Nogalitos, 2"," Calle los Nogalitos, 2 , Algodonales , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",90,80.0,2019-04-14,102000,0,3.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,2004.0,no indicado,,0,0,35100655,0,0.0,Espera,"Calle Naranjos, 8"," Calle Naranjos, 8 , Espera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",260,80.0,2019-04-14,180000,0,3.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,2004.0,,bajo exterior,0,0,35134671,2,1.0,Arcos de la Frontera,"Calle Cucarro, 2"," Calle Cucarro, 2 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",52,50.0,2019-04-14,50000,0,1.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,2004.0,no indicado,2 plantas,0,0,39138555,7,0.0,Grazalema,"Calle Santa Maria, 1"," Calle Santa Maria, 1 , Grazalema , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",110,80.0,2019-04-14,130000,0,3.0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,3 plantas,0,0,81323264,1,0.0,Bornos,"Calle Alta, 47"," Calle Alta, 47 , Bornos , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",150,80.0,2019-04-14,90000,0,3.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,0,0,2004.0,no indicado,planta 2ª exterior,0,0,81686308,2,0.0,Villamartin,"Calle Blas Infante, 4"," Calle Blas Infante, 4 , Villamartin , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",79,80.0,2019-04-14,65000,0,3.0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,0,0,2004.0,no indicado,bajo exterior,1,0,31268779,2,0.0,Villamartin,"Calle zahara, 2"," Calle zahara, 2 , Villamartin , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",70,80.0,2019-04-14,70000,0,3.0,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,2004.0,no indicado,planta 1ª exterior,1,0,82233021,2,0.0,Bornos,"Calle Huelva, 2"," Calle Huelva, 2 , Bornos , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",70,80.0,2019-04-14,72000,0,3.0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,planta 1ª exterior,0,0,82326113,2,0.0,El Bosque,"Avenida Juan XXIII, 20"," Avenida Juan XXIII, 20 , El Bosque , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",70,80.0,2019-04-14,75000,0,3.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,2004.0,no indicado,2 plantas,0,0,82515201,3,0.0,Arcos de la Frontera,"Calle Condesa de Lebrija, 4"," Calle Condesa de Lebrija, 4 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",93,80.0,2019-04-14,90000,0,3.0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
