ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 24 de marzo,0,0,2.0,0,0,,no indicado,planta 1ª exterior,1,0,34294609,14,0,Burgo de Osma-Ciudad de Osma,"Calle daniel garcía moral, 2"," Calle daniel garcía moral, 2 , Burgo de Osma-Ciudad de Osma , Burgo de Osma, Soria ",,"Burgo de Osma, Soria",95,90,2019-04-11,475,0,4.0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 8 de abril,0,0,2.0,0,0,,en trámite,2 plantas,1,1,39984462,16,,Berlanga de Duero,"Calle Almirez, 3"," Calle Almirez, 3 , Berlanga de Duero , Almazán, Soria ",,"Almazán, Soria",300,,2019-04-11,300,0,5.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 9 de abril,0,0,2.0,0,0,,no indicado,planta 1ª exterior,1,0,32058785,14,0,Covaleda,"Calle las losas, 4 n"," Calle las losas, 4 n , Covaleda , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",90,,2019-04-11,300,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,0,0,1.0,1,0,,,planta 1ª exterior,1,0,39717380,14,0,Navaleno,"Calle Numancia, 7"," Calle Numancia, 7 , Navaleno , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",80,,2019-04-11,300,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 8 de abril,0,0,2.0,0,0,2003,no indicado,2 plantas,1,0,82190571,16,,Burgo de Osma-Ciudad de Osma,"Calle la Estacada, 13"," Calle la Estacada, 13 , Burgo de Osma-Ciudad de Osma , Burgo de Osma, Soria ",,"Burgo de Osma, Soria",100,,2019-04-11,1000,1,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,2.0,1,0,,no indicado,2 plantas,1,1,27176711,16,,Burgo de Osma-Ciudad de Osma,Urb. La Serna," Calle Juan de Juni-III, 21 , Urb. La Serna , Burgo de Osma-Ciudad de Osma , Burgo de Osma, Soria ","Calle Juan de Juni-III, 21","Burgo de Osma, Soria",400,140,2019-04-11,700,0,4.0,0,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 1 de abril,0,0,2.0,0,0,,no indicado,,0,0,83944204,16,,Navaleno,"Calle Jesús Posada D, 25"," Calle Jesús Posada D, 25 , Navaleno , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",140,,2019-04-11,450,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 9 de marzo,0,0,1.0,1,0,,no indicado,planta 2ª exterior,0,0,84219427,14,0,Soria,Distrito La Florida - San Pedro," Calle Santísima Trinidad, 6 , Distrito La Florida - San Pedro , Soria , Área de Soria, Soria ","Calle Santísima Trinidad, 6","Área de Soria, Soria",74,70,2019-04-11,400,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 19 de febrero,0,0,2.0,0,0,,no indicado,2 plantas,0,0,33224746,17,,Almazan,"Calle guadalupe, 4 bis"," Calle guadalupe, 4 bis , Almazan , Almazán, Soria ",,"Almazán, Soria",170,,2019-04-11,350,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 11 de febrero,0,0,2.0,1,0,,no indicado,planta 3ª exterior,0,0,1814432,14,0,San Leonardo de Yague,"Calle San Pedro, 24"," Calle San Pedro, 24 , San Leonardo de Yague , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",100,,2019-04-11,289,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
