ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 1ª exterior,0,0,29477121,0,0,Burgo de Osma-Ciudad de Osma,"Calle Mayor, 55"," Calle Mayor, 55 , Burgo de Osma-Ciudad de Osma , Burgo de Osma, Soria ",,"Burgo de Osma, Soria",107,,2019-04-11,150000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,,no indicado,3 plantas,1,0,81247327,1,,San Leonardo de Yague,"Calle la Resinera, 8"," Calle la Resinera, 8 , San Leonardo de Yague , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",200,,2019-04-11,139000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,0,0,,,2 plantas,0,0,81987826,1,,Soria,Distrito La Florida - San Pedro," Calle Tovasol, 8 -10 , Distrito La Florida - San Pedro , Soria , Área de Soria, Soria ","Calle Tovasol, 8 -10","Área de Soria, Soria",88,,2019-04-11,40000,0,4.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,2 plantas,1,0,82408876,1,,Burgo de Osma-Ciudad de Osma,"Calle de la Universidad, 52"," Calle de la Universidad, 52 , Burgo de Osma-Ciudad de Osma , Burgo de Osma, Soria ",,"Burgo de Osma, Soria",385,,2019-04-11,210000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 1ª exterior,0,0,82546729,0,0,Vinuesa,"Avenida Constitución, 4"," Avenida Constitución, 4 , Vinuesa , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",92,,2019-04-11,50000,0,4.0,1,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,,no indicado,2 plantas,0,0,31371763,3,,Espejon,"Calle las huertas, 7"," Calle las huertas, 7 , Espejon , Burgo de Osma, Soria ",,"Burgo de Osma, Soria",120,,2019-04-11,36000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,1 planta,0,0,29048173,3,,Calatañazor,Camino Blacos s/n," Camino Blacos s/n , Calatañazor , Área de Soria, Soria ",,"Área de Soria, Soria",280,,2019-04-11,38000,0,5.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,1,,inmueble exento,,0,0,38300670,3,,Rioseco de Soria,"Carretera Soria Valladolid, 6"," Carretera Soria Valladolid, 6 , Rioseco de Soria , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",146,145,2019-04-11,18000,0,6.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,38645190,0,0,Navaleno,"Avenida de la Constitución, 67 , PISO 1º"," Avenida de la Constitución, 67 , PISO 1º , Navaleno , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",78,76,2019-04-11,48000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,4.0,0,0,,no indicado,3 plantas,0,1,1850450,1,,Vinuesa,"Calle Lavaderas, 2"," Calle Lavaderas, 2 , Vinuesa , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",417,,2019-04-11,175000,0,8.0,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
