ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,1,0,2.0,1,0,,no indicado,2 plantas,1,1,36611001,3,,Toro,"Cuesta Empedrada, 19"," Cuesta Empedrada, 19 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",500,,2019-04-11,299000,0,5.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 3ª exterior,0,0,26585523,0,0,Toro,"Calle de Capuchinos, 14"," Calle de Capuchinos, 14 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",58,57,2019-04-11,60000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,2 plantas,0,0,82812085,2,,Toro,"Calle Perejil, 9"," Calle Perejil, 9 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",110,,2019-04-11,45000,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,en trámite,planta 3ª exterior,1,0,38213836,0,1,Toro,Plaza Porticada s/n," Plaza Porticada s/n , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",95,,2019-04-11,91000,0,2.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,1,1.0,0,0,,no indicado,1 planta,1,1,81887891,3,,Toro,"Carretera Castronuño, 4"," Carretera Castronuño, 4 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",6000,,2019-04-11,170000,0,3.0,1,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,3 plantas,1,0,82365794,2,,Villavendimio,"Calle Libertad, 8"," Calle Libertad, 8 , Villavendimio , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",350,270,2019-04-11,25000,0,5.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,1.0,0,0,,en trámite,planta 3ª exterior,0,0,82365778,0,1,Toro,"Travesía Carlos Pinilla, 38"," Travesía Carlos Pinilla, 38 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",100,85,2019-04-11,65000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,1,,no indicado,2 plantas,0,0,32977885,2,,Morales de Toro,"Calle el circuito, 8"," Calle el circuito, 8 , Morales de Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",30,,2019-04-11,28000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,en trámite,planta 2ª exterior,0,1,34878931,0,0,Toro,"Calle rejadorada, 25"," Calle rejadorada, 25 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",180,170,2019-04-11,90000,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,1 planta,1,1,82041312,2,,Vezdemarban,"Calle Huertos, 14"," Calle Huertos, 14 , Vezdemarban , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",455,,2019-04-11,60000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
