ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 17 de enero,0,1,2.0,0,0,1993.0,no indicado,planta 1ª exterior,1,0,83883705,3,0.0,Aramaio,"Calle Aita Gabirel Jauregi, 4"," Calle Aita Gabirel Jauregi, 4 , Aramaio , Zuya, Álava ",,"Zuya, Álava",70,87.0,2019-03-29,150000,0,2.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de febrero,0,0,2.0,0,0,1993.0,en trámite,,0,0,36828307,0,1.0,Zuya,," , Zuya , Álava ",,Álava,552,87.0,2019-03-29,330000,0,4.0,0,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de noviembre,0,0,2.0,0,0,1993.0,no indicado,,0,0,27472323,2,1.0,Legutiano,"Calle Goikuri, 21"," Calle Goikuri, 21 , Legutiano , Zuya, Álava ",,"Zuya, Álava",220,87.0,2019-03-29,70000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,3.0,1,0,1993.0,no indicado,3 plantas,0,1,83828882,2,1.0,Legutiano,"Itesasi, 4"," Itesasi, 4 , Legutiano , Zuya, Álava ",,"Zuya, Álava",90,180.0,2019-03-29,350000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 26 de noviembre,0,0,3.0,0,0,1993.0,inmueble exento,,0,1,34008052,6,1.0,Zuya,," , Zuya , Álava ",,Álava,219,193.0,2019-03-29,423000,0,3.0,1,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de noviembre,0,0,3.0,0,0,1993.0,en trámite,,1,1,39610444,6,1.0,Zuya,," , Zuya , Álava ",,Álava,220,87.0,2019-03-29,320000,0,3.0,1,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de marzo,0,0,1.0,0,0,1993.0,no indicado,planta 2ª exterior,0,0,30638685,1,1.0,Legutiano,"Calle comercio, 19"," Calle comercio, 19 , Legutiano , Zuya, Álava ",,"Zuya, Álava",55,87.0,2019-03-29,107000,0,2.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de marzo,0,0,2.0,0,0,1993.0,,1 planta,0,0,38236785,0,1.0,Zigoitia,Calle Hegoalde s/n," Calle Hegoalde s/n , Zigoitia , Zuya, Álava ",,"Zuya, Álava",1000,137.0,2019-03-29,285000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 6 de enero,0,1,3.0,1,0,1998.0,no indicado,3 plantas,1,1,81817109,0,1.0,Zuya,Larrabizcal s/n," Larrabizcal s/n , Zuya , Álava ",,Álava,700,215.0,2019-03-29,360000,0,4.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Anuncio actualizado el 21 de enero,0,0,4.0,1,0,1993.0,no indicado,2 plantas,1,0,317685,0,1.0,Zuya,"Calle Mendibe, 8"," Calle Mendibe, 8 , Zuya , Álava ",,Álava,1250,87.0,2019-03-29,440000,0,5.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,2.0,1,0,1993.0,no indicado,planta 1ª exterior,1,1,2133216,3,0.0,Zuya,"Calle San Martin, 3"," Calle San Martin, 3 , Zuya , Álava ",,Álava,108,97.0,2019-03-29,160000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 18 de marzo,0,0,1.0,0,0,1993.0,no indicado,3 plantas,0,0,31739173,4,1.0,Urcabustaiz,Urb. amarrojin," Carretera altube, 622 , Urb. amarrojin , Urcabustaiz , Zuya, Álava ","Carretera altube, 622","Zuya, Álava",30000,87.0,2019-03-29,100000,0,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de febrero,0,0,1.0,0,0,1993.0,,planta 3ª exterior,0,0,32454947,3,0.0,Legutiano,"Calle comercio, 22"," Calle comercio, 22 , Legutiano , Zuya, Álava ",,"Zuya, Álava",79,68.0,2019-03-29,99500,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,2.0,0,0,1993.0,,1 planta,1,0,34003779,0,1.0,Urcabustaiz,izarra s/n," izarra s/n , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",1500,184.0,2019-03-29,400000,1,3.0,0,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,1.0,0,0,1993.0,no indicado,planta 1ª exterior,0,0,34196954,3,1.0,Urcabustaiz,"Calle mayor, 12"," Calle mayor, 12 , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",70,87.0,2019-03-29,145000,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,4.0,0,0,1993.0,,3 plantas,1,0,39197348,5,1.0,Zuya,"Calle Palatu, 13"," Calle Palatu, 13 , Zuya , Álava ",,Álava,300,87.0,2019-03-29,310000,0,4.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 18 de marzo,0,1,3.0,1,0,1993.0,no indicado,2 plantas,1,1,310610,0,1.0,Zigoitia,"Calle Lagagorri, 16"," Calle Lagagorri, 16 , Zigoitia , Zuya, Álava ",,"Zuya, Álava",1000,250.0,2019-03-29,499000,1,4.0,1,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
