price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
190000,2.0,3.0,0,25876995,90,85,Aia,"Urola Kosta, Guipúzcoa",,0
130000,1.0,3.0,0,31583919,88,80,Zestoa,"Urola Kosta, Guipúzcoa",,0
150000,1.0,4.0,0,31639895,105,100,Azpeitia,"Urola Kosta, Guipúzcoa",,0
197000,2.0,12.0,5,32080047,550,,Zestoa,"Urola Kosta, Guipúzcoa",,0
590000,2.0,4.0,0,32492976,133,122,Zarautz,"Urola Kosta, Guipúzcoa",,1
180000,2.0,3.0,0,32834646,75,,Zestoa,"Urola Kosta, Guipúzcoa",,0
175000,1.0,3.0,0,32854256,100,90,Azpeitia,"Urola Kosta, Guipúzcoa",,0
120000,1.0,2.0,0,33668422,65,,Azkoitia,"Urola Kosta, Guipúzcoa",,0
115000,1.0,3.0,8,26841116,98,92,Azpeitia,"Urola Kosta, Guipúzcoa",,0
220000,2.0,3.0,0,34428152,90,85,Aia,"Urola Kosta, Guipúzcoa",,1
48000,1.0,3.0,0,36145142,54,,Azpeitia,"Urola Kosta, Guipúzcoa",,0
200000,2.0,2.0,0,37456815,104,100,Orio,"Urola Kosta, Guipúzcoa",,0
153000,1.0,2.0,0,1693359,75,62,Zestoa,"Urola Kosta, Guipúzcoa",,0
184000,1.0,3.0,0,37011811,110,88,Azpeitia,"Urola Kosta, Guipúzcoa",,0
225000,1.0,3.0,0,38281211,62,,Zarautz,"Urola Kosta, Guipúzcoa",,0
223000,2.0,2.0,6,38539899,130,120,Zestoa,"Urola Kosta, Guipúzcoa",,0
90000,1.0,4.0,0,39692675,78,,Azpeitia,"Urola Kosta, Guipúzcoa",,0
116000,1.0,2.0,0,39914558,83,76,Azkoitia,"Urola Kosta, Guipúzcoa",,0
70000,1.0,1.0,7,39952115,750,,Azkoitia,"Urola Kosta, Guipúzcoa",,0
240000,2.0,3.0,0,40448775,100,83,Aizarnazabal,"Urola Kosta, Guipúzcoa",,1
140000,1.0,3.0,0,31148864,95,90,Azkoitia,"Urola Kosta, Guipúzcoa",,0
360000,2.0,3.0,0,81164379,89,80,Zarautz,"Urola Kosta, Guipúzcoa",1933,0
98000,1.0,2.0,8,81305248,62,,Azkoitia,"Urola Kosta, Guipúzcoa",,0
425000,2.0,3.0,0,81722247,80,76,Zarautz,"Urola Kosta, Guipúzcoa",,1
280000,3.0,4.0,0,82439268,125,115,Orio,"Urola Kosta, Guipúzcoa",,0
355000,2.0,3.0,0,82476821,70,,Zarautz,"Urola Kosta, Guipúzcoa",,0
220000,1.0,2.0,0,82601058,64,55,Orio,"Urola Kosta, Guipúzcoa",,0
350000,2.0,4.0,0,36150307,104,,Zumaia,"Urola Kosta, Guipúzcoa",,0
130000,1.0,3.0,0,82642879,86,76,Azkoitia,"Urola Kosta, Guipúzcoa",,0
165000,1.0,3.0,0,82730415,76,,Aia,"Urola Kosta, Guipúzcoa",,0
