price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
700,1.0,2.0,16,84858455,50,,Pasaia,"Donostialdea, Guipúzcoa",,0
1400,1.0,2.0,16,39735533,65,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",2017,1
1500,2.0,3.0,16,84252247,120,93,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",2017,1
950,1.0,3.0,16,30772001,65,60,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1000,2.0,2.0,18,84499610,108,99,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1100,1.0,1.0,16,84500017,47,44,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1400,2.0,4.0,16,84532496,105,100,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1200,1.0,2.0,16,84533681,48,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1800,3.0,4.0,16,84702992,160,140,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1973,1
800,1.0,3.0,16,84581138,80,73,Irun,"Bajo Bidasoa, Guipúzcoa",1977,0
1200,1.0,2.0,16,84618427,88,82,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1800,2.0,3.0,16,84620063,132,122,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
675,1.0,2.0,21,84643222,70,55,Irun,"Bajo Bidasoa, Guipúzcoa",1957,0
1800,2.0,4.0,16,84649589,126,115,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1800,2.0,3.0,16,84650335,124,112,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1800,3.0,4.0,16,84650700,142,128,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1360,2.0,4.0,16,84661505,172,150,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,1
950,1.0,3.0,16,81412499,95,90,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1945,0
1300,2.0,3.0,16,84778361,100,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
950,2.0,3.0,16,84817905,95,93,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1969,0
700,1.0,1.0,16,84867311,58,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1962,0
900,1.0,2.0,16,39110373,55,45,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1250,2.0,3.0,16,81132079,90,76,Hondarribia,"Bajo Bidasoa, Guipúzcoa",1970,0
1200,2.0,4.0,16,84188512,195,150,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1960,0
1600,3.0,4.0,16,36337165,190,160,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1950,0
1100,2.0,3.0,16,84795899,75,72,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",2018,1
700,1.0,2.0,16,33202670,50,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
850,1.0,3.0,16,84853429,60,57,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
650,1.0,2.0,16,35524235,50,42,Pasaia,"Donostialdea, Guipúzcoa",,0
1300,1.0,2.0,16,82355418,75,65,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1100,2.0,2.0,16,82582230,60,58,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1300,1.0,2.0,16,83589354,60,54,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1200,1.0,1.0,16,83769728,55,45,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1300,1.0,2.0,16,39196090,85,75,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1700,2.0,3.0,16,38570751,125,110,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1974,0
1250,1.0,1.0,16,84750906,50,43,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1988,0
1100,2.0,2.0,16,84870012,85,72,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,1
700,1.0,2.0,21,29767149,35,,Hondarribia,"Bajo Bidasoa, Guipúzcoa",,0
1300,2.0,3.0,16,84739418,85,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1900,0
950,1.0,2.0,16,84796642,83,75,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1900,0
1100,1.0,2.0,16,84797742,92,80,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1400,2.0,2.0,16,82309681,100,93,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1600,2.0,3.0,16,82531094,100,80,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1450,2.0,3.0,16,82531097,70,60,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1400,2.0,2.0,16,82569376,84,73,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
