ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,4.0,0,0,1996.0,no indicado,,1,0,31833729,2,1.0,Gelida,"urbanització martivell polígon 1, 15"," urbanització martivell polígon 1, 15 , Gelida , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",300,99.0,2019-04-12,500000,0,5.0,1,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,1996.0,en trámite,,1,0,29568976,2,1.0,Mediona,"Calle Cadí, 1682"," Calle Cadí, 1682 , Mediona , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",180,99.0,2019-04-12,185000,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,1996.0,inmueble exento,1 planta,0,0,28095621,2,1.0,Pontons,Urb. la rimbalda," Calle 6, 198 , Urb. la rimbalda , Pontons , Alt Penedès, Barcelona ","Calle 6, 198","Alt Penedès, Barcelona",520,99.0,2019-04-12,65000,0,2.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,2.0,1,0,1996.0,no indicado,2 plantas,1,1,82091122,2,1.0,Subirats,"Calle del Bosc, 38"," Calle del Bosc, 38 , Subirats , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",480,230.0,2019-04-12,270000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,1996.0,en trámite,3 plantas,1,1,82125040,2,1.0,Olèrdola,"Calle de Canyelles, 51"," Calle de Canyelles, 51 , Olèrdola , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",750,200.0,2019-04-12,250000,0,5.0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,1996.0,,1 planta,1,1,36699203,4,1.0,Les Cabanyes,"Plaza del Penedès, 4"," Plaza del Penedès, 4 , Les Cabanyes , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",180,99.0,2019-04-12,195000,0,4.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,1996.0,no indicado,planta 1ª exterior,1,0,1589965,0,1.0,Vilafranca del Penedès,Distrito Sant Julià," Calle Progres, 12 , Distrito Sant Julià , Vilafranca del Penedès , Alt Penedès, Barcelona ","Calle Progres, 12","Alt Penedès, Barcelona",115,101.0,2019-04-12,260000,0,4.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
más de 5 meses sin actualizar,0,0,2.0,0,0,1996.0,no indicado,planta 1ª exterior,1,0,26747480,0,1.0,Sant Martí Sarroca,"Rambla de Catalunya, 1"," Rambla de Catalunya, 1 , Sant Martí Sarroca , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",114,96.0,2019-04-12,150000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,0,1996.0,,planta 1ª exterior,0,0,37839801,0,1.0,Vilafranca del Penedès,Distrito Les Clotes," Calle de Sant Jaume, 11 , Distrito Les Clotes , Vilafranca del Penedès , Alt Penedès, Barcelona ","Calle de Sant Jaume, 11","Alt Penedès, Barcelona",70,65.0,2019-04-12,90000,0,2.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,0,0,1996.0,en trámite,bajo exterior,0,0,82193315,3,0.0,Puigdàlber,"Calle Diputació, 22"," Calle Diputació, 22 , Puigdàlber , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",86,99.0,2019-04-12,184000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
