price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace,energetic_certif,floor,loc_district,loc_neigh,obtention_date,ad_last_update
550,2.0,3.0,18,84132978,100,110.0,Bernedo,"Campezo- Montaña Alavesa, Álava",1993.0,0,0,0,0,0,1,1.0,0,1,0,0,no indicado,2 plantas,"Calle el Cristo, 62",,2019-03-29,Anuncio actualizado el 24 de marzo
1800,3.0,3.0,17,38150934,200,130.0,Vitoria-Gasteiz,Álava,1993.0,1,0,1,0,1,0,1.0,0,1,0,1,no indicado,planta 5ª exterior,Distrito Centro,"Senda Ibilbidea, 5",2019-03-29,Anuncio actualizado el 26 de febrero
1500,2.0,4.0,15,26699231,120,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,0,1.0,0,0,0,0,no indicado,planta 5ª exterior,Distrito Centro,"Calle Olaguibel, 12",2019-03-29,Anuncio actualizado el 11 de marzo
950,2.0,3.0,18,83209099,1000,87.0,Barrundia,"Salvatierra, Álava",1993.0,0,1,0,0,1,1,1.0,0,1,0,1,no indicado,2 plantas,"Uria, 26",,2019-03-29,Anuncio actualizado el 19 de febrero
350,1.0,0.0,19,30284677,50,87.0,Ribera Alta,"Añana, Álava",1993.0,0,0,0,0,0,0,0.0,0,0,0,0,no indicado,planta 1ª exterior,"Axkoeta, 10",,2019-03-29,Anuncio actualizado el 24 de marzo
520,1.0,1.0,15,84412074,52,87.0,Llodio,"Ayala, Álava",1993.0,0,0,1,0,0,0,1.0,0,0,0,0,en trámite,bajo exterior,"Calle Ugarte, 19",,2019-03-29,Anuncio actualizado el 25 de marzo
650,1.0,1.0,15,33447720,43,39.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,0,1.0,0,1,0,0,,planta 8ª exterior,Distrito Centro,"Calle bake, 10",2019-03-29,Anuncio actualizado el 12 de marzo
660,2.0,1.0,15,84743374,65,50.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,0,1.0,0,1,0,1,,planta 4ª exterior,Distrito Centro,"Calle Bake, 8",2019-03-29,Anuncio actualizado el 28 de marzo
550,1.0,2.0,15,27370989,63,60.0,Legutiano,"Zuya, Álava",1993.0,0,0,1,0,0,0,0.0,0,0,0,0,en trámite,bajo exterior,"Calle Comercio Kalea, 17",,2019-03-29,Anuncio actualizado el 17 de marzo
360,1.0,3.0,20,84536575,130,90.0,Valdegovia,"Añana, Álava",1974.0,0,0,0,0,0,0,1.0,0,1,0,0,no indicado,1 planta,,,2019-03-29,Anuncio actualizado el 7 de marzo
1375,2.0,4.0,15,40047680,145,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,0,1.0,0,1,0,1,en trámite,planta 2ª exterior,Distrito San Martín,Avenida Gasteiz,2019-03-29,Anuncio actualizado el 5 de febrero
780,1.0,2.0,15,83020974,56,55.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,0,1.0,0,0,0,0,,planta 5ª exterior,Distrito Centro,San Antonio,2019-03-29,Anuncio actualizado el 3 de enero
