ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gas natural,heating_calefacción central: gas propano/butano,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_no dispone de calefacción,heating_no dispone de calefacción: gas propano/butano,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,2.0,0,0,1976.0,,planta 1ª exterior,1,0,25479817,2,1.0,Balmaseda,"Paseo de la Magdalena, 17"," Paseo de la Magdalena, 17 , Balmaseda , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",120,96.0,2019-03-29,270000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1976.0,en trámite,planta 2ª exterior,1,0,31122433,2,0.0,Balmaseda,"Calle santo domingo, 18"," Calle santo domingo, 18 , Balmaseda , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",76,85.0,2019-03-29,149000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,0,0,1976.0,,planta 1ª exterior,0,1,35227313,2,0.0,Zalla,"Barrio el Baular, 9"," Barrio el Baular, 9 , Zalla , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",111,97.0,2019-03-29,225000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,1976.0,,planta 3ª exterior,1,0,38316178,2,1.0,Zalla,"Calle Nicolas Maria Urgoiti, 8"," Calle Nicolas Maria Urgoiti, 8 , Zalla , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",95,90.0,2019-03-29,162000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,1976.0,no indicado,3 plantas,0,0,39063492,6,1.0,Carranza,Calle Barrio Aldeacueva s/n," Calle Barrio Aldeacueva s/n , Carranza , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",6000,85.0,2019-03-29,180000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1976.0,,planta 5ª exterior,0,0,39788572,2,0.0,Gordexola,"Sandamendi Auzoa, 22"," Sandamendi Auzoa, 22 , Gordexola , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",65,60.0,2019-03-29,95000,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1976.0,,planta 5ª exterior,0,0,33969473,2,0.0,Balmaseda,"Calle nocedal, 25"," Calle nocedal, 25 , Balmaseda , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",68,57.0,2019-03-29,148000,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,5.0,0,0,1976.0,en trámite,3 plantas,1,1,40468971,0,1.0,Güeñes,"Mendiona Etorbidea, 28"," Mendiona Etorbidea, 28 , Güeñes , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",1000,400.0,2019-03-29,900000,0,5.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de marzo,0,0,1.0,1,0,1976.0,,bajo exterior,0,0,35919827,2,0.0,Güeñes,," , Güeñes , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",86,83.0,2019-03-29,85000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 11 de abril,0,0,1.0,0,0,1976.0,en trámite,planta 1ª exterior,0,0,35997589,2,0.0,Güeñes,," , Güeñes , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",60,55.0,2019-03-29,52000,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
