ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gas natural,heating_calefacción central: gas propano/butano,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_no dispone de calefacción,heating_no dispone de calefacción: gas propano/butano,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 2 meses sin actualizar,0,1,2,1,0,1976.0,,planta 3ª exterior,1,1,82111792,15,1.0,Gernika-Lumo,"Calle Araba, 15"," Calle Araba, 15 , Gernika-Lumo , Busturialdea, Vizcaya ",,"Busturialdea, Vizcaya",90,85.0,2019-03-31,950,0,3,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,1,2,1,0,1976.0,no indicado,planta 3ª exterior,0,1,82308631,15,1.0,Bilbao,Distrito Begoña - Santutxu," Calle San Joaquin, 9 , Barrio Bolueta , Distrito Begoña - Santutxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Bolueta,"Gran Bilbao, Vizcaya",65,63.0,2019-03-31,750,0,2,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,1,2,0,0,1976.0,no indicado,planta 4ª exterior,1,0,83400360,15,1.0,Barakaldo,Distrito Lasesarre," Calle El Orden, 4 , Distrito Lasesarre , Barakaldo , Gran Bilbao, Vizcaya ","Calle El Orden, 4","Gran Bilbao, Vizcaya",93,85.0,2019-03-31,800,0,3,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,1,1,0,1976.0,,planta 4ª exterior,0,1,27749398,15,0.0,Gorliz,"Calle Itsasbide Kalea, 2"," Calle Itsasbide Kalea, 2 , Gorliz , Uribe-Butroe, Vizcaya ",,"Uribe-Butroe, Vizcaya",100,95.0,2019-03-31,700,0,3,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,2,0,0,1976.0,no indicado,3 plantas,0,1,25874167,18,1.0,Carranza,Urb. Rio Seco," Calle Rio Seco, 9 , Urb. Rio Seco , Carranza , Encartaciones, Vizcaya ","Calle Rio Seco, 9","Encartaciones, Vizcaya",4000,280.0,2019-03-31,1300,0,7,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
más de 2 meses sin actualizar,0,1,1,1,0,1976.0,,planta 4ª exterior,0,0,83707873,15,1.0,Getxo,Distrito Sta. María de Getxo," Iturribide, 11 , Distrito Sta. María de Getxo , Getxo , Gran Bilbao, Vizcaya ","Iturribide, 11","Gran Bilbao, Vizcaya",86,80.0,2019-03-31,850,0,4,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 2 meses sin actualizar,1,0,3,1,0,1976.0,en trámite,3 plantas,1,1,39944531,18,1.0,Muskiz,"Laureta-Laureta Taldea Etxetaldea, 78 -80"," Laureta-Laureta Taldea Etxetaldea, 78 -80 , Muskiz , Gran Bilbao, Vizcaya ",,"Gran Bilbao, Vizcaya",772,292.0,2019-03-31,2200,0,4,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,1,0,0,1976.0,en trámite,1 planta,0,1,33885443,18,1.0,Plentzia,"Calle isuskiza, 133"," Calle isuskiza, 133 , Plentzia , Uribe-Butroe, Vizcaya ",,"Uribe-Butroe, Vizcaya",500,69.0,2019-03-31,750,0,2,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,1,1,1,0,1976.0,inmueble exento,planta 1ª exterior,0,1,2000225,15,0.0,Barakaldo,Distrito Bagatza - S. Vicente," Calle la Familiar, 79 , Urb. la familiar , Distrito Bagatza - S. Vicente , Barakaldo , Gran Bilbao, Vizcaya ",Urb. la familiar,"Gran Bilbao, Vizcaya",45,85.0,2019-03-31,650,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
más de 2 meses sin actualizar,0,0,2,1,0,1976.0,en trámite,planta 1ª exterior,0,0,83339109,15,1.0,Bilbao,Distrito Abando - Albia," Calle Hurtado de Amezaga, 25 , Barrio Zabalburu-Diputación , Distrito Abando - Albia , Bilbao , Gran Bilbao, Vizcaya ",Barrio Zabalburu-Diputación,"Gran Bilbao, Vizcaya",85,83.0,2019-03-31,1500,0,3,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
