ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,1,0,2.0,1,0,,no indicado,2 plantas,0,0,36614336,0,,Sanlúcar la Mayor,"Plaza Virgen de las Angustias, 18"," Plaza Virgen de las Angustias, 18 , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",95,,2019-04-13,100000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,2.0,1,0,,no indicado,2 plantas,0,0,82708714,0,,Sanlúcar la Mayor,"Calle Juan Carlos I, 29"," Calle Juan Carlos I, 29 , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",80,75,2019-04-13,120000,0,2.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,,no indicado,,0,0,34611646,7,,Olivares,"Calle concuello, 35"," Calle concuello, 35 , Olivares , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",160,,2019-04-13,250000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,2 plantas,0,0,82546830,7,,Sanlúcar la Mayor,"Calle Hermana Esclava Carmen Fernández, 32"," Calle Hermana Esclava Carmen Fernández, 32 , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",200,,2019-04-13,75000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,no indicado,2 plantas,0,1,1767981,0,,Albaida del Aljarafe,"Calle Hermanos Machado, 29"," Calle Hermanos Machado, 29 , Albaida del Aljarafe , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",110,85,2019-04-13,110000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,38512705,8,0,Olivares,"Calle Pío X, 56"," Calle Pío X, 56 , Olivares , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",60,56,2019-04-13,67000,0,0.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,3.0,1,0,,no indicado,2 plantas,0,1,31991206,4,,Sanlúcar la Mayor,"Calle halcon, 19"," Calle halcon, 19 , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",2517,,2019-04-13,270000,0,5.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,,no indicado,1 planta,1,1,27769686,4,,Sanlúcar la Mayor,Urb. La Granja," Calle Murillo, 21 , Urb. La Granja , Sanlúcar la Mayor , Aljarafe, Sevilla ","Calle Murillo, 21","Aljarafe, Sevilla",590,589,2019-04-13,360000,0,4.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,2.0,1,0,,,2 plantas,1,0,30645012,0,,Albaida del Aljarafe,Urb. la salvaora," Calle palacio real, 37 , Urb. la salvaora , Albaida del Aljarafe , Aljarafe, Sevilla ","Calle palacio real, 37","Aljarafe, Sevilla",144,86,2019-04-13,130000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,1,0,,no indicado,2 plantas,0,1,1826775,4,,Olivares,Urb. La zahurda," Ronda de Andalucía, 14 , Urb. La zahurda , Olivares , Aljarafe, Sevilla ","Ronda de Andalucía, 14","Aljarafe, Sevilla",200,,2019-04-13,150000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
