ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 1 de marzo,0,0,2.0,0,0,,no indicado,planta 2ª exterior,0,0,40094872,0,1,Riaza,"Avenida del Doctor Antonio García Tapia, 1"," Avenida del Doctor Antonio García Tapia, 1 , Riaza , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",90,,2019-04-13,185000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,0,0,1.0,0,0,,en trámite,3 plantas,0,0,82800937,1,,Moral de Hornuez,"Calle Real, 27"," Calle Real, 27 , Moral de Hornuez , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",40,,2019-04-13,30000,0,3.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de febrero,0,0,2.0,0,0,,no indicado,1 planta,1,0,84464729,2,,Fresno de Cantespino,Urb. Prado Pinilla," Avenida del chopo s/n , Urb. Prado Pinilla , Fresno de Cantespino , Área de Riaza, Segovia ",Avenida del chopo s/n,"Área de Riaza, Segovia",2500,,2019-04-13,165000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 19 de diciembre,0,0,1.0,1,0,,en trámite,planta 1ª interior,0,0,30089506,0,0,Riaza,Urb. no," Calle Cava, 16 , Urb. no , Riaza , Área de Riaza, Segovia ","Calle Cava, 16","Área de Riaza, Segovia",87,63,2019-04-13,76000,0,2.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 15 de febrero,0,0,1.0,0,0,,no indicado,2 plantas,0,1,37834451,2,,Fresno de Cantespino,"Calle Rincón, 16"," Calle Rincón, 16 , Fresno de Cantespino , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",1394,,2019-04-13,120000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 7 de abril,0,0,1.0,0,0,,no indicado,,0,0,83296967,1,,Ayllon,"Calle Marco Fluvio, 6"," Calle Marco Fluvio, 6 , Ayllon , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",47,,2019-04-13,30000,0,3.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 19 de noviembre,0,0,3.0,1,0,,no indicado,bajo exterior,1,0,27406647,0,1,Riaza,"Camino Turrubuelo, 44"," Camino Turrubuelo, 44 , Riaza , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",160,130,2019-04-13,160000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 6 de noviembre,0,0,1.0,1,0,,no indicado,bajo exterior,0,0,34412993,0,1,Riaza,Urb. Las Solanas II," Avenida del doctor antonio garcía tapia, 2 , Urb. Las Solanas II , Riaza , Área de Riaza, Segovia ","Avenida del doctor antonio garcía tapia, 2","Área de Riaza, Segovia",73,,2019-04-13,79000,0,1.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,0,0,2.0,1,0,,no indicado,planta 2ª exterior,0,1,82560881,0,0,Riaza,Urb. Urbanización Valprado," Avenida Madrid, 4 , Urb. Urbanización Valprado , Riaza , Área de Riaza, Segovia ","Avenida Madrid, 4","Área de Riaza, Segovia",105,90,2019-04-13,155000,0,3.0,1,1,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 17 de diciembre,0,0,1.0,1,0,,no indicado,planta 2ª exterior,0,0,1638759,0,1,Riaza,"Calle Medico Valentin Gil, 8"," Calle Medico Valentin Gil, 8 , Riaza , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",43,37,2019-04-13,65000,0,1.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
