House_Type,Code
 Chalet pareado,0
 Casa o chalet independiente,1
 Casa de pueblo,2
Piso,3
 Cortijo,4
 Finca rústica,5
 Chalet adosado,6
 Casa terrera,7
 Casa rural,8
Ático,9
 Casa o chalet,10
Dúplex,11
Estudio,12
 Torre,13
house_type,14
Alquiler de Chalet adosado,15
Alquiler de Piso,16
Alquiler de Casa o chalet independiente,17
Alquiler de Casa rural,18
