ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: bomba de frío/calor,heating_calefacción central: eléctrica,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,2 plantas,0,0,37477539,2,,Castilblanco de los Arroyos,"Calle Alonso Cano, 2"," Calle Alonso Cano, 2 , Castilblanco de los Arroyos , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",120,,2019-04-13,85000,0,5.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,1 planta,0,0,82387079,1,,Aznalcollar,"Calle Torres, 11"," Calle Torres, 11 , Aznalcollar , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",164,,2019-04-13,95000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,2 plantas,1,0,82821786,2,,Guadalcanal,"Calle Sevilla, 52"," Calle Sevilla, 52 , Guadalcanal , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",70,,2019-04-13,16000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,,en trámite,2 plantas,0,0,83635448,1,,Cazalla de la Sierra,"Calle del Durillo, 7"," Calle del Durillo, 7 , Cazalla de la Sierra , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",300,,2019-04-13,380000,0,5.0,1,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,,0,0,36676852,2,,El Real de la Jara,"Calle Gongora, 1"," Calle Gongora, 1 , El Real de la Jara , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",124,,2019-04-13,90000,0,5.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,0,0,,en trámite,2 plantas,0,0,82101258,1,,Las Navas de la Concepcion,Hermanos Machado s/n," Hermanos Machado s/n , Las Navas de la Concepcion , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",100,,2019-04-13,55000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,1,0,,no indicado,2 plantas,1,0,338528,1,,El Real de la Jara,"Calle Ramón y Cajal, 12"," Calle Ramón y Cajal, 12 , El Real de la Jara , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",230,,2019-04-13,78131,0,5.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,1 planta,0,0,28979848,2,,Las Navas de la Concepcion,"Calle Castillo, 7"," Calle Castillo, 7 , Las Navas de la Concepcion , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",120,,2019-04-13,48000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,0,0,35172125,2,,Castilblanco de los Arroyos,"Calle Blás Infante, 55"," Calle Blás Infante, 55 , Castilblanco de los Arroyos , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",95,,2019-04-13,90000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,1 planta,1,0,1682351,1,,Castilblanco de los Arroyos,Urb. urb las minas," Calle las Minas, 74 , Urb. urb las minas , Castilblanco de los Arroyos , Sierra norte, Sevilla ","Calle las Minas, 74","Sierra norte, Sevilla",3000,,2019-04-13,19000,0,1.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
