,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
count,4,4.0,4.0,4.0,4,4,0,4,4,0,4.0
unique,4,,,,4,3,0,4,1,0,
top,400,,,,40408689,100,,Aguadulce,"Área de Estepa, Sevilla",,
freq,1,,,,1,2,,1,4,,
mean,,1.5,2.25,16.5,,,,,,,0.75
std,,1.0,0.9574271077563381,1.2909944487358056,,,,,,,0.5
min,,1.0,1.0,15.0,,,,,,,0.0
25%,,1.0,1.75,15.75,,,,,,,0.75
50%,,1.0,2.5,16.5,,,,,,,1.0
75%,,1.5,3.0,17.25,,,,,,,1.0
max,,3.0,3.0,18.0,,,,,,,1.0
