,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,,,,,,,,,,
std,,,,,,,,,,
min,,,,,,,,,,
25%,,,,,,,,,,
50%,,,,,,,,,,
75%,,,,,,,,,,
max,,,,,,,,,,
