ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,heating_no dispone de calefacción: gas natural,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 14 de marzo,0,0,1.0,1,0,,,planta 5ª exterior,0,0,84618427,16,1,Donostia-San Sebastián,Distrito Centro-Miraconcha," SAN MARCIAL , Urb. CENTRO , Barrio Área Romántica , Distrito Centro-Miraconcha , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Barrio Área Romántica,"Donostialdea, Guipúzcoa",88,82,2019-04-01,1200,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 11 de marzo,0,0,2.0,0,0,,,planta 2ª exterior,0,0,84620063,16,1,Donostia-San Sebastián,Distrito Gros," SEGUNDO ISPIZUA , Urb. GROS , Distrito Gros , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Urb. GROS,"Donostialdea, Guipúzcoa",132,122,2019-04-01,1800,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 13 de marzo,0,0,1.0,0,0,1957,en trámite,planta 5ª exterior,0,0,84643222,21,1,Irun,Distrito Centro - Mendibil - Santiago," Legazpi Kalea, Irún , Distrito Centro - Mendibil - Santiago , Irun , Bajo Bidasoa, Guipúzcoa ","Legazpi Kalea, Irún","Bajo Bidasoa, Guipúzcoa",70,55,2019-04-01,675,1,2.0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 13 de marzo,0,0,2.0,0,0,,,planta 3ª exterior,0,0,84649589,16,1,Donostia-San Sebastián,Distrito Gros," SEGUNDO ISPIZUA , Urb. GROS - ZURRIOLA , Distrito Gros , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Urb. GROS - ZURRIOLA,"Donostialdea, Guipúzcoa",126,115,2019-04-01,1800,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 13 de marzo,0,1,2.0,0,0,,,planta 1ª exterior,0,0,84650335,16,1,Donostia-San Sebastián,Distrito Gros," SEGUNDO ISPIZUA , Urb. GROS - ZURRIOLA , Distrito Gros , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Urb. GROS - ZURRIOLA,"Donostialdea, Guipúzcoa",124,112,2019-04-01,1800,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de marzo,0,0,3.0,0,0,,,planta 4ª exterior,0,0,84650700,16,1,Donostia-San Sebastián,Distrito Gros," BERMINGHAM , Urb. GROS - ZURRIOLA , Distrito Gros , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Urb. GROS - ZURRIOLA,"Donostialdea, Guipúzcoa",142,128,2019-04-01,1800,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 14 de marzo,0,0,2.0,1,0,,,planta 2ª exterior,1,0,84661505,16,0,Donostia-San Sebastián,Distrito Aiete," ANDOAIN , Urb. AYETE , Distrito Aiete , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Urb. AYETE,"Donostialdea, Guipúzcoa",172,150,2019-04-01,1360,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 21 de marzo,0,0,1.0,0,0,1945,en trámite,planta 2ª exterior,0,0,81412499,16,0,Donostia-San Sebastián,Distrito Ategorrieta," Bordatxipi Pasealekua , Distrito Ategorrieta , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Bordatxipi Pasealekua,"Donostialdea, Guipúzcoa",95,90,2019-04-01,950,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 25 de marzo,0,0,2.0,0,0,,en trámite,planta 3ª exterior,0,0,84778361,16,1,Donostia-San Sebastián,Distrito Gros," Calle Agirre Miramon , Distrito Gros , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",Calle Agirre Miramon,"Donostialdea, Guipúzcoa",100,,2019-04-01,1300,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 29 de marzo,0,0,2.0,0,0,1969,en trámite,planta 2ª exterior,0,0,84817905,16,1,Donostia-San Sebastián,Distrito Antiguo," , Distrito Antiguo , Donostia-San Sebastián , Donostialdea, Guipúzcoa ",,"Donostialdea, Guipúzcoa",95,93,2019-04-01,950,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
