House_Type,Code
Piso,0
 Casa o chalet independiente,1
 Casa rural,2
 Chalet adosado,3
 Casa o chalet,4
 Casa de pueblo,5
Dúplex,6
 Finca rústica,7
Ático,8
Casa rural,9
 Chalet pareado,10
house_type,11
Estudio,12
 Caserón,13
 Cortijo,14
 Torre,15
Alquiler de Piso,16
Alquiler de Casa o chalet independiente,17
Alquiler de Dúplex,18
Alquiler de Chalet pareado,19
Alquiler de Estudio,20
Alquiler de Ático,21
Alquiler de Chalet adosado,22
Alquiler de Casa o chalet,23
Alquiler de Finca rústica,24
