price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace
990,1,1,15,81797896,96,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
990,1,1,15,84568271,95,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
935,1,1,15,84568272,96,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
990,1,1,15,84568273,96,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
990,1,1,15,84568274,94,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
935,1,1,15,81797897,95,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
895,1,1,15,81797899,89,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
935,1,1,15,84568275,95,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
990,1,1,15,84568276,95,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
735,1,1,15,81797890,89,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
825,1,1,15,84568278,89,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
990,1,1,15,81797901,108,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
990,1,1,15,83025944,108,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
770,1,1,15,83025945,68,85.0,Amorebieta-Echano,"Duranguesado, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
