ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 4ª exterior,1,0,29455495,1,1,Ripoll,"Calle de Josep Maria Pellicer, 54"," Calle de Josep Maria Pellicer, 54 , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",105,,2019-04-15,150000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,bajo exterior,1,0,396602,1,1,Vilallonga de Ter,"Calle Viver, 11"," Calle Viver, 11 , Vilallonga de Ter , Ripollès, Girona ",,"Ripollès, Girona",40,,2019-04-15,120000,0,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 1ª exterior,1,0,2103439,1,0,Vilallonga de Ter,"Calle Santo Domingo, 21"," Calle Santo Domingo, 21 , Vilallonga de Ter , Ripollès, Girona ",,"Ripollès, Girona",54,44,2019-04-15,170000,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,4.0,1,1,,no indicado,3 plantas,1,1,29026042,6,,Sant Joan de les Abadesses,"Mas Can Blau, 101"," Mas Can Blau, 101 , Sant Joan de les Abadesses , Ripollès, Girona ",,"Ripollès, Girona",680,,2019-04-15,700000,0,7.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,,no indicado,4 plantas,1,1,30268282,3,,Ribes de Freser,"Plaza Font, 1"," Plaza Font, 1 , Ribes de Freser , Ripollès, Girona ",,"Ripollès, Girona",800,,2019-04-15,495000,0,5.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,en trámite,planta 3ª exterior,0,0,31576916,1,1,Camprodon,"Calle ferrer bàrbara, 44"," Calle ferrer bàrbara, 44 , Camprodon , Ripollès, Girona ",,"Ripollès, Girona",60,,2019-04-15,125000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,,planta 1ª exterior,1,1,26717912,1,0,Ripoll,Urb. Colonia Noguera," Colonia Noguera, 1 , Urb. Colonia Noguera , Ripoll , Ripollès, Girona ","Colonia Noguera, 1","Ripollès, Girona",70,66,2019-04-15,70000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,bajo exterior,0,0,36463265,1,1,Ripoll,"Carretera de Ribes, 81"," Carretera de Ribes, 81 , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",72,,2019-04-15,145000,0,2.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,5.0,0,0,,en trámite,3 plantas,0,1,40526254,6,,Vallfogona de Ripollès,"Carretera de Olot a Ripoll, 4"," Carretera de Olot a Ripoll, 4 , Vallfogona de Ripollès , Ripollès, Girona ",,"Ripollès, Girona",803,,2019-04-15,359990,0,7.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,,en trámite,planta 1ª exterior,0,0,27228625,1,0,Campdevánol,Urb. colonia pernau," Colonia Pernau, 24 , Urb. colonia pernau , Campdevánol , Ripollès, Girona ","Colonia Pernau, 24","Ripollès, Girona",48,45,2019-04-15,39000,0,2.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
