ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: eléctrica,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,,0,0,27576852,5,,Campo de Mirra,"Calle San Bartolomeo, 36"," Calle San Bartolomeo, 36 , Campo de Mirra , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",120,,2019-04-14,126000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 4ª exterior,0,0,37265655,2,1,Villena,"Avenida Constitución, 85"," Avenida Constitución, 85 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",135,,2019-04-14,80000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,,planta 5ª exterior,1,0,37265882,2,1,Villena,"Calle Ferriz, 30"," Calle Ferriz, 30 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",90,,2019-04-14,120000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,0,,en trámite,planta 1ª exterior,0,0,37873483,2,0,Villena,"Calle del Capitán López Tarruella, 4"," Calle del Capitán López Tarruella, 4 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",84,,2019-04-14,41900,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,1,0,1970,no indicado,planta 4ª exterior,0,0,39351191,2,1,Villena,"Paseo Chapí, 15"," Paseo Chapí, 15 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",160,,2019-04-14,100000,1,6.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,,no indicado,1 planta,1,1,27096706,1,,Sax,"Camino Regatillo, 1400"," Camino Regatillo, 1400 , Sax , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",14000,250,2019-04-14,250000,1,7.0,1,1,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,1 planta,0,0,82459968,6,,Sax,"Poligono 3, 157"," Poligono 3, 157 , Sax , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",7500,,2019-04-14,170000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 4ª exterior,0,0,82605567,2,1,Sax,"Calle Reyes Católicos, 16"," Calle Reyes Católicos, 16 , Sax , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",90,,2019-04-14,115000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,inmueble exento,2 plantas,0,0,26991754,1,,Villena,"Calle Jose María Soler, 12"," Calle Jose María Soler, 12 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",70,130,2019-04-14,63000,0,4.0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,1,0,,no indicado,2 plantas,1,0,28474804,1,,Cañada,"Calle Manuel Ocaña Valverde, 21"," Calle Manuel Ocaña Valverde, 21 , Cañada , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",1054,,2019-04-14,250000,0,4.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,0,,,planta 3ª interior,0,0,31758227,2,0,Villena,"Calle escalona, 7"," Calle escalona, 7 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",80,,2019-04-14,55000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,,no indicado,1 planta,0,1,2082254,1,,Sax,"Camino Cavas - Peñarrubia, 2"," Camino Cavas - Peñarrubia, 2 , Sax , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",7000,,2019-04-14,94000,0,2.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,3.0,1,1,1936,no indicado,2 plantas,0,1,35665748,6,,Campo de Mirra,"Camino Cañada, 11"," Camino Cañada, 11 , Campo de Mirra , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",2714,299,2019-04-14,190000,0,7.0,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,en trámite,1 planta,1,0,36003775,7,,Sax,"Camino de los colegiales, 1"," Camino de los colegiales, 1 , Sax , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",2500,,2019-04-14,149000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,4.0,1,0,,no indicado,3 plantas,1,0,36090999,3,,Benejama,"Calle Constitució, 16"," Calle Constitució, 16 , Benejama , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",650,350,2019-04-14,330000,0,4.0,0,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,en trámite,planta 3ª exterior,0,0,36631107,2,0,Villena,"POETA EMILIA PARDO BAZAN, 3"," POETA EMILIA PARDO BAZAN, 3 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",136,127,2019-04-14,39000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,,no indicado,3 plantas,0,0,28165343,1,,Biar,"Calle Carriles, 11"," Calle Carriles, 11 , Biar , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",98,66,2019-04-14,75000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,no indicado,planta 2ª exterior,1,0,38902559,2,1,Sax,"Calle Industrias, 29"," Calle Industrias, 29 , Sax , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",136,128,2019-04-14,118000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,1.0,0,0,,en trámite,planta 3ª exterior,0,0,81176049,2,1,Biar,"Calle Jesús Juan Bernabéu, 5"," Calle Jesús Juan Bernabéu, 5 , Biar , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",90,,2019-04-14,45000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,0,0,1994,,planta 3ª exterior,0,0,81202085,2,0,Villena,"Calle Rulda, 30"," Calle Rulda, 30 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",90,,2019-04-14,60000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,en trámite,planta 3ª exterior,0,0,81443688,2,0,Sax,"Calle Santa Lucía, 18"," Calle Santa Lucía, 18 , Sax , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",90,,2019-04-14,52000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,,1 planta,0,0,82369264,3,,Sax,"Calle Ancha Vilaje, 15"," Calle Ancha Vilaje, 15 , Sax , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",172,140,2019-04-14,70000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
